rank,keyword,score
1,디스플레,5.814618860898269
2,삼성,2.9651810422523734
3,스마트,2.834776169345559
4,기술,2.3639335517460927
5,인공지능,2.218160420357032
6,반도체,2.1469710880340602
7,대거,1.9899735637026548
8,제품,1.5530280773580105
9,협력,1.5330031545382399
10,모바일,1.498853486883005
11,한다,1.4820768539019755
12,탑재한,1.3760392658377074
13,함께,1.3276268275616814
14,신제품,1.178554409199129
15,비전,1.1588087830678804
16,인치,1.1409885841018848
17,갤럭시,1.0978166267406737
