rank,keyword,score
1,디스플레,12.456572835508942
2,삼성,6.0062461231785855
3,대표,3.8622180420770245
4,뷰티,3.278215125769734
5,서강대,3.2402686409322627
6,디바이스,2.7892803307545417
7,개발,2.7825127410070793
8,디지털,2.6655413098235665
9,마이크,2.6301032957469954
10,인공지능,2.6221138196759277
11,기술,2.4902279682847555
12,가격,2.3496115729438976
13,물론,2.3405022116702106
14,항시,2.3215696901999716
15,바이오,2.242721697227746
16,방문하여,2.214452439839772
