term,cur,prev,diff,total,ma7,z_like
oled,13,13,0,110,12.0,0.224
삼성디스플레이,9,2,7,37,3.429,1.954
lg디스플레이,5,15,-10,57,7.857,-0.751
lg전자,4,3,1,20,1.571,1.078
애플,4,23,-19,36,4.714,-0.225
boe,2,0,2,14,1.286,0.335
폴더블,2,4,-2,11,1.429,0.26
에어팟,1,1,0,2,0.286,0.465
아이패드,1,2,-1,3,0.429,0.345
카카오,1,1,0,8,1.143,-0.069
tsmc,1,8,-7,9,1.286,-0.134
sk하이닉스,1,4,-3,15,1.857,-0.363
삼성전자,1,3,-2,53,5.714,-1.39
