term,cur,prev,diff,total,ma7,z_like
삼성디스플레이,9,2,7,37,3.429,1.954
lg전자,4,3,1,20,1.571,1.078
에어팟,1,1,0,2,0.286,0.465
boe,2,0,2,14,1.286,0.335
카카오,1,1,0,8,1.143,-0.069
