org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,3,228.0687,0.0315,0.7306,228.0687
AMD,1,120.1958,0.0103,0.3850,120.1958
AMD,2,101.0737,0.0159,0.3238,101.0737
AMD,7,76.1706,0.0062,0.2440,76.1706
AMD,9,71.0439,0.0125,0.2276,71.0439
AMD,6,70.0079,0.0081,0.2243,70.0079
AMD,8,45.1335,0.0086,0.1446,45.1335
AMD,5,45.0929,0.0080,0.1444,45.0929
AMD,4,25.7231,0.0056,0.0824,25.7231
AMD,0,17.0510,0.0040,0.0546,17.0510
ASUS,1,64.2908,0.0055,0.5643,64.2908
ASUS,7,61.4955,0.0050,0.5398,61.4955
ASUS,6,49.2134,0.0057,0.4320,49.2134
ASUS,5,37.3425,0.0066,0.3278,37.3425
ASUS,2,26.1279,0.0041,0.2293,26.1279
ASUS,3,15.3017,0.0021,0.1343,15.3017
ASUS,8,12.8953,0.0025,0.1132,12.8953
ASUS,9,8.5253,0.0015,0.0748,8.5253
ASUS,0,8.1548,0.0019,0.0716,8.1548
ASUS,4,5.1446,0.0011,0.0452,5.1446
AUO,7,9.7834,0.0008,0.6651,9.7834
AUO,1,6.9881,0.0006,0.4751,6.9881
AUO,8,5.0148,0.0010,0.3409,5.0148
AUO,6,4.1589,0.0005,0.2827,4.1589
AUO,5,3.5229,0.0006,0.2395,3.5229
AUO,0,2.2240,0.0005,0.1512,2.2240
AUO,4,2.2048,0.0005,0.1499,2.2048
AUO,9,2.1313,0.0004,0.1449,2.1313
AUO,3,1.4573,0.0002,0.0991,1.4573
AUO,2,0.6876,0.0001,0.0467,0.6876
Acer,1,62.1943,0.0053,0.6200,62.1943
Acer,7,51.7122,0.0042,0.5155,51.7122
Acer,6,42.2820,0.0049,0.4215,42.2820
Acer,5,30.2968,0.0053,0.3020,30.2968
Acer,2,21.3149,0.0034,0.2125,21.3149
Acer,3,13.8444,0.0019,0.1380,13.8444
Acer,8,10.0297,0.0019,0.1000,10.0297
Acer,9,7.1044,0.0013,0.0708,7.1044
Acer,0,2.9654,0.0007,0.0296,2.9654
Acer,4,2.9398,0.0006,0.0293,2.9398
BMW,2,66.6949,0.0105,0.5273,66.6949
BMW,6,60.3038,0.0070,0.4768,60.3038
BMW,1,57.3027,0.0049,0.4531,57.3027
BMW,7,39.8323,0.0032,0.3149,39.8323
BMW,9,34.8115,0.0061,0.2752,34.8115
BMW,5,29.5922,0.0052,0.2340,29.5922
BMW,4,18.3736,0.0040,0.1453,18.3736
BMW,0,16.3097,0.0038,0.1290,16.3097
BMW,3,15.3017,0.0021,0.1210,15.3017
BMW,8,10.7461,0.0021,0.0850,10.7461
BOE,7,774.9835,0.0632,0.7094,774.9835
BOE,1,448.6379,0.0383,0.4107,448.6379
