org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
네이버,,109.01 (1%),89.38 (1%),58.29 (1%),,54.25 (1%),91.50 (1%),77.57 (1%),46.57 (1%),63.94 (1%)
니오,,1.40 (0%),1.38 (0%),,,0.70 (0%),2.08 (0%),0.70 (0%),,0.71 (0%)
도우인시스,,6.99 (0%),,2.91 (0%),2.20 (0%),3.52 (0%),4.16 (0%),5.59 (0%),2.15 (0%),3.55 (0%)
두산로보틱스,,45.42 (0%),22.00 (0%),15.30 (0%),,12.68 (0%),15.94 (0%),13.98 (0%),14.33 (0%),18.47 (0%)
디지타임스,,10.48 (0%),3.44 (0%),3.64 (0%),0.73 (0%),2.11 (0%),6.24 (0%),9.78 (0%),0.72 (0%),
레노버,,12.58 (0%),13.75 (0%),11.66 (0%),5.88 (0%),8.45 (0%),13.86 (0%),23.76 (0%),,7.10 (0%)
리벨리온,,10.48 (0%),8.25 (0%),,6.61 (0%),4.23 (0%),9.70 (0%),9.08 (0%),5.73 (0%),9.24 (0%)
리오토,,2.80 (0%),2.06 (0%),4.37 (0%),1.47 (0%),,4.16 (0%),7.69 (0%),2.15 (0%),2.13 (0%)
마이크로소프트,,113.91 (1%),96.26 (2%),236.08 (3%),,45.80 (1%),52.68 (1%),69.88 (1%),31.52 (1%),60.39 (1%)
메타,,187.28 (2%),158.83 (2%),435.01 (6%),,71.16 (1%),92.19 (1%),128.58 (1%),62.33 (1%),96.62 (2%)
미디어텍,,22.36 (0%),15.13 (0%),,12.49 (0%),10.57 (0%),20.10 (0%),16.07 (0%),14.33 (0%),14.92 (0%)
바이두,0.74 (0%),4.89 (0%),1.38 (0%),1.46 (0%),0.73 (0%),1.41 (0%),2.08 (0%),2.80 (0%),,
벤츠,,28.65 (0%),51.57 (1%),15.30 (0%),55.12 (1%),18.32 (0%),62.38 (1%),22.36 (0%),,23.44 (0%)
비보,,44.72 (0%),19.25 (0%),25.50 (0%),13.23 (0%),21.14 (0%),41.59 (0%),57.30 (0%),,11.37 (0%)
삼성디스플레이,,904.26 (8%),332.79 (5%),394.93 (5%),,495.32 (9%),751.37 (9%),1464.01 (12%),253.61 (5%),279.20 (5%)
삼성전자,,6590.68 (15%),3884.56 (16%),,5427.40 (31%),3236.91 (15%),5171.37 (16%),5961.86 (13%),5486.33 (28%),6781.25 (32%)
샤오미,79.61 (2%),126.63 (1%),84.60 (1%),79.88 (1%),64.95 (1%),,134.14 (1%),209.49 (2%),74.53 (1%),
샤오펑,,10.48 (0%),8.25 (0%),8.02 (0%),,5.64 (0%),9.01 (0%),17.47 (0%),5.73 (0%),7.10 (0%)
샤프,9.64 (0%),14.68 (0%),,13.84 (0%),10.29 (0%),,14.56 (0%),38.43 (0%),12.18 (0%),8.53 (0%)
선익시스템,5.93 (0%),46.82 (0%),6.88 (0%),5.10 (0%),,15.50 (0%),22.87 (0%),43.33 (0%),6.45 (0%),
세미파이브,0.74 (0%),1.40 (0%),1.38 (0%),1.46 (0%),,,2.08 (0%),3.49 (0%),1.43 (0%),1.42 (0%)
소니,30.40 (1%),41.93 (0%),29.57 (0%),,24.25 (1%),,41.59 (0%),60.80 (0%),25.07 (0%),23.44 (0%)
아마존,,107.62 (1%),98.32 (2%),369.43 (5%),,31.71 (1%),38.12 (0%),71.98 (1%),27.22 (1%),61.81 (1%)
아이씨디,4.45 (0%),46.82 (0%),4.13 (0%),3.64 (0%),,14.80 (0%),13.86 (0%),27.95 (0%),2.87 (0%),
알파벳,,19.57 (0%),20.63 (0%),75.05 (1%),,6.34 (0%),5.55 (0%),13.28 (0%),5.73 (0%),12.08 (0%)
애플,,862.24 (6%),591.42 (7%),898.14 (10%),,362.38 (5%),876.32 (8%),1174.73 (8%),293.14 (4%),416.69 (6%)
엔비디아,,676.67 (2%),511.90 (3%),993.97 (6%),,225.76 (2%),329.88 (2%),449.47 (2%),258.24 (2%),333.08 (2%)
