org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
11거래일,1,4,2,2,2,3,3,1,1,2,4
1o,0,1,1,1,1,0,1,0,0,0,0
1위,5,2,2,3,1,3,0,3,3,3,0
1학년,1,1,2,4,4,3,1,2,1,1,2
2025서,2,2,3,5,2,1,4,2,1,4,0
2o,0,1,1,1,1,0,1,0,0,0,0
2o1,0,1,1,1,1,0,1,0,0,0,0
34개,2,1,4,4,2,1,3,2,1,3,0
3a,0,1,1,1,1,0,1,0,0,0,0
3a1,0,1,1,1,1,0,1,0,0,0,0
4o,0,1,1,1,1,0,1,0,0,0,0
4o1,0,1,1,1,1,0,1,0,0,0,0
5거래일,1,4,2,2,2,3,3,1,1,2,4
66만2000건,3,2,1,1,0,3,0,2,2,2,2
7월부터,3,2,1,1,0,3,0,2,2,2,2
8은,2,2,4,4,3,2,3,1,2,3,0
9o,0,1,1,1,1,0,1,0,0,0,0
9월,7,4,3,4,3,5,3,3,7,6,5
AI,6,6,9,16,14,9,10,4,5,11,6
AI로,1,1,2,2,3,2,3,1,1,4,1
APEC,1,2,3,3,4,1,3,2,1,1,1
CJ대한통운,1,1,3,2,1,0,4,1,1,2,0
Everything,2,2,3,5,2,1,4,2,1,4,0
HB테크놀러지,4,5,3,5,3,5,2,2,3,4,4
HD한국조선해양,3,3,1,0,0,2,0,0,3,2,2
LG디스플레,5,5,1,2,1,3,2,0,4,3,3
LG디스플레이,5,3,0,1,2,1,0,1,4,2,0
LG전자,5,3,0,3,1,2,0,0,5,2,2
LH트릴로채,2,1,4,4,2,1,3,2,1,3,0
OLED,20,13,3,9,5,9,2,4,16,10,5
OpenAI,2,2,2,5,3,2,2,1,2,3,2
P-OLED,5,5,1,2,1,3,2,0,4,3,3
PC,4,2,1,2,1,4,1,1,3,1,1
SECaaS,1,1,2,2,3,2,3,1,1,4,1
SUS,5,3,0,1,2,1,0,1,4,2,0
Try,2,2,3,5,2,1,4,2,1,4,0
UI,2,2,4,4,3,2,3,1,2,3,0
vs,0,1,1,1,1,0,1,0,0,0,0
가격,3,4,0,1,0,1,1,1,3,3,2
가스안전,6,2,4,2,0,8,6,10,2,6,4
가운데,6,2,4,2,0,8,6,10,2,6,4
가전,3,2,1,1,0,3,0,2,2,2,2
감가상각,5,3,0,1,2,1,0,1,4,2,0
감소했다.,3,2,0,1,0,3,0,0,3,2,4
강사,1,1,2,4,4,3,1,2,1,1,2
강세,3,3,1,0,0,2,0,0,3,2,2
개소식,2,2,2,5,3,2,2,1,2,3,2
개인전,4,2,3,4,3,3,2,3,4,4,2
갤러리,4,2,3,4,3,3,2,3,4,4,2
갤럭시,2,2,4,4,3,2,3,1,2,3,0
거래일,4,5,3,5,3,5,2,2,3,4,4
건립,1,1,3,3,2,2,2,2,1,2,0
검색,2,2,2,5,3,2,2,1,2,3,2
것으로,8,7,0,2,2,2,1,2,7,5,2
것이다.,4,2,3,4,3,3,2,3,4,4,2
경기도,3,2,0,1,0,3,0,0,3,2,4
경신했습니다.,1,4,2,2,2,3,3,1,1,2,4
경제,1,2,3,3,4,1,3,2,1,1,1
고위급,1,2,3,3,4,1,3,2,1,1,1
공급망,4,2,1,2,1,4,1,1,3,1,1
공동,2,2,2,3,3,4,1,2,2,1,3
공동성명문,1,2,3,3,4,1,3,2,1,1,1
관계자들,4,2,1,2,1,4,1,1,3,1,1
관리,2,2,3,5,2,1,4,2,1,4,0
교류,3,1,2,2,1,4,1,2,2,2,1
교육,7,3,6,6,4,11,7,12,3,7,6
교장,1,1,2,4,4,3,1,2,1,1,2
국민,3,2,1,1,0,3,0,2,2,2,2
국제,3,1,2,2,1,4,1,2,2,2,1
국토교통부,2,1,1,0,0,1,0,2,1,1,0
국회,1,1,3,3,2,2,2,2,1,2,0
권용희,1,4,2,2,2,3,3,1,1,2,4
금속봉지,5,3,0,1,2,1,0,1,4,2,0
금융,1,4,2,2,2,3,3,1,1,2,4
기관,11,5,5,2,0,11,7,12,6,9,7
기기,2,2,4,4,3,2,3,1,2,3,0
기능,2,2,4,4,3,2,3,1,2,3,0
기대,3,2,0,0,0,2,1,0,3,2,3
기록하면서,3,2,0,1,0,3,0,0,3,2,4
기록해,3,2,0,1,0,3,0,0,3,2,4
기반,2,2,3,5,2,1,4,2,1,4,0
기업들,5,2,2,3,1,3,0,3,3,3,0
기자,7,6,6,4,2,11,9,11,3,8,8
