term,cur,prev,diff,ma7,z_like,total
이도,6,0,6,1.0,2.5,6
강의,5,0,5,0.833,2.178,5
전참시,5,0,5,0.833,2.178,5
21일,8,8,0,2.667,2.026,16
16세,4,0,4,0.667,1.835,4
각막,4,0,4,0.667,1.835,4
살림남,4,0,4,0.667,1.835,4
쇼호스트에,4,0,4,0.667,1.835,4
연하,4,0,4,0.667,1.835,4
운세,4,0,4,0.667,1.835,4
지상렬,4,0,4,0.667,1.835,4
명곡,4,1,3,0.833,1.655,5
불후의,4,1,3,0.833,1.655,5
신승훈,4,1,3,0.833,1.655,5
27세,3,0,3,0.5,1.464,3
모솔,3,0,3,0.5,1.464,3
손상,3,0,3,0.5,1.464,3
실명,3,0,3,0.5,1.464,3
중단,3,0,3,0.5,1.464,3
결혼,4,3,1,1.167,1.362,7
위기,3,0,3,0.833,1.133,5
고백,3,2,1,0.833,1.133,5
변우석,3,2,1,0.833,1.133,5
09월,2,0,2,0.333,1.057,2
강사,2,0,2,0.333,1.057,2
고혈압,2,0,2,0.333,1.057,2
극비,2,0,2,0.333,1.057,2
김우진씨,2,0,2,0.333,1.057,2
김종국,2,0,2,0.333,1.057,2
내부,2,0,2,0.333,1.057,2
댄스에,2,0,2,0.333,1.057,2
모두까기,2,0,2,0.333,1.057,2
무대,2,0,2,0.333,1.057,2
바꿔줘,2,0,2,0.333,1.057,2
받았다,2,0,2,0.333,1.057,2
발라드,2,0,2,0.333,1.057,2
방광살리기,2,0,2,0.333,1.057,2
별자리,2,0,2,0.333,1.057,2
보고,2,0,2,0.333,1.057,2
보냈,2,0,2,0.333,1.057,2
부친상,2,0,2,0.333,1.057,2
비트버니,2,0,2,0.333,1.057,2
사연,2,0,2,0.333,1.057,2
선택,2,0,2,0.333,1.057,2
성공적,2,0,2,0.333,1.057,2
수면장애,2,0,2,0.333,1.057,2
쏠퀴즈,2,0,2,0.333,1.057,2
야간뇨로,2,0,2,0.333,1.057,2
어필,2,0,2,0.333,1.057,2
영파씨,2,0,2,0.333,1.057,2
오늘의,2,0,2,0.333,1.057,2
원인,2,0,2,0.333,1.057,2
위풍당당,2,0,2,0.333,1.057,2
이후,2,0,2,0.333,1.057,2
인한,2,0,2,0.333,1.057,2
작심,2,0,2,0.333,1.057,2
재미있었어,2,0,2,0.333,1.057,2
전립선,2,0,2,0.333,1.057,2
정답,2,0,2,0.333,1.057,2
정답은,2,0,2,0.333,1.057,2
제작진에,2,0,2,0.333,1.057,2
중요,2,0,2,0.333,1.057,2
지리,2,0,2,0.333,1.057,2
진심인,2,0,2,0.333,1.057,2
진태현,2,0,2,0.333,1.057,2
질환,2,0,2,0.333,1.057,2
책임,2,0,2,0.333,1.057,2
축하파티,2,0,2,0.333,1.057,2
출연,2,0,2,0.333,1.057,2
치료가,2,0,2,0.333,1.057,2
퀴즈,2,0,2,0.333,1.057,2
해시태,2,0,2,0.333,1.057,2
허각,2,0,2,0.333,1.057,2
호소,2,0,2,0.333,1.057,2
혼삿길,2,0,2,0.333,1.057,2
황제,2,0,2,0.333,1.057,2
선언,2,0,2,0.5,0.879,3
107일,2,1,1,0.5,0.879,3
ktx,2,1,1,0.5,0.879,3
경륜경정,2,1,1,0.5,0.879,3
광명역,2,1,1,0.5,0.879,3
대회서,2,1,1,0.5,0.879,3
마라톤,2,1,1,0.5,0.879,3
불법도박,2,1,1,0.5,0.879,3
수술,2,1,1,0.5,0.879,3
아내,2,1,1,0.5,0.879,3
예방,2,1,1,0.5,0.879,3
평화,2,1,1,0.5,0.879,3
해리스의,2,1,1,0.5,0.879,3
회고록,2,1,1,0.5,0.879,3
활동,4,7,-3,2.0,0.828,12
4년,2,0,2,0.667,0.734,4
민주당,2,1,1,0.667,0.734,4
일상,2,1,1,0.667,0.734,4
15만원,2,2,0,0.667,0.734,4
36만원,2,2,0,0.667,0.734,4
