org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
.attr,1,1,2,0,1,1,1,0,1
.css,1,1,2,0,1,1,1,0,1
.find,1,1,2,0,1,1,1,0,1
.val,1,1,2,0,1,1,1,0,1
1로,0,0,3,0,1,1,0,0,0
2023년,0,4,2,0,3,1,0,0,0
2026년형,2,0,2,0,2,0,1,2,1
2026학년도,0,0,3,0,1,1,0,0,0
26일부터,1,0,3,0,1,0,1,0,1
2차전지,1,2,4,0,2,1,4,1,0
3년간,0,5,2,0,4,0,0,0,0
3분기,2,3,2,0,4,0,2,2,1
3종,0,0,0,0,1,2,1,1,0
40도,0,0,1,1,0,0,1,2,0
4855억,2,3,2,0,4,0,2,2,1
4성,0,0,0,0,1,2,1,1,0
7호실,0,0,2,0,1,0,0,0,0
8.6세대,0,7,4,0,6,2,1,0,0
9건,1,0,3,0,2,0,0,1,0
9월,0,0,1,4,0,4,0,3,0
AI,11,17,23,1,15,12,11,6,7
AMD,0,0,2,0,0,1,0,1,0
Apple,0,1,0,0,0,2,0,0,0
A씨,0,0,1,0,0,0,0,1,0
BOE,0,17,10,0,14,3,1,1,0
BYD,2,0,2,0,2,0,1,2,1
CBC뉴스,0,1,0,1,1,7,0,2,0
CD,1,1,2,0,1,1,1,0,1
CPU,0,1,4,0,2,2,0,5,0
CSOT,0,3,2,0,3,1,1,0,0
Design,6,6,2,0,4,2,3,0,4
else,1,1,2,0,1,1,1,0,1
email,0,1,1,1,1,2,0,0,0
ESS,1,2,4,0,2,1,4,1,0
ETERNA,0,1,0,0,0,2,0,0,0
FE,0,0,1,0,0,2,0,1,0
FT,0,1,0,0,1,0,0,0,0
function,1,1,2,0,1,1,1,0,1
GFX,1,3,1,0,1,4,2,1,1
HPSP,0,2,6,0,3,2,8,2,0
id,1,1,2,0,1,1,1,0,1
IDEA,26,15,16,0,11,2,10,2,37
iF,2,2,1,0,2,1,1,0,3
if,1,1,2,0,1,1,1,0,1
ITC,0,5,4,0,4,1,0,1,0
IT용,0,7,4,0,6,2,1,0,0
JV,0,3,4,0,4,3,2,1,0
KBS2TV,0,2,1,0,2,1,0,0,0
KizunaAI,1,0,3,0,1,0,1,0,1
KODEX,0,1,4,0,2,0,4,0,0
KT,0,3,4,0,4,3,2,1,0
LAKE,1,0,3,0,1,0,1,0,1
LCD,10,23,18,0,21,3,5,3,25
LCK,0,0,1,1,0,3,0,0,0
LG,2,2,1,0,2,1,1,0,3
LG디스플레,2,3,2,0,4,0,2,2,1
LG디스플레이,2,3,2,0,4,0,2,2,1
LG전자,2,12,11,0,15,4,3,2,3
LTPO,0,5,4,0,4,1,0,1,0
MBC,0,0,0,4,0,1,0,0,0
NC다이노스,0,0,0,0,0,1,0,0,0
NWS,1,1,2,0,1,1,1,0,1
OLED,0,39,29,0,37,10,3,5,0
ProRes,0,1,0,0,0,2,0,0,0
protected,0,1,1,1,1,2,0,0,0
Samsung,9,9,3,0,6,3,5,0,6
SBS,0,1,1,1,1,2,0,0,0
