term,cur,prev,diff,total,ma7,z_like
아이폰,5,3,2,16,2.143,1.16
구글,2,0,2,8,0.429,0.95
sk온,1,0,1,1,0.143,0.622
비전프로,1,0,1,1,0.143,0.622
원익ips,1,0,1,1,0.143,0.622
lg화학,1,0,1,4,0.286,0.465
사이니지,1,0,1,4,0.571,0.244
아이패드,1,1,0,5,0.714,0.155
맥북,1,1,0,7,0.857,0.074
폴더블,2,0,2,15,2.0,0.0
lg전자,1,1,0,22,1.857,-0.363
sk하이닉스,1,0,1,18,2.143,-0.464
삼성디스플레이,1,0,1,42,2.714,-0.648
한화,1,0,1,29,3.714,-0.927
oled,2,0,2,120,8.429,-1.647
