org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,1,75.6266,0.1706,0.9557,75.6266
AMD,3,21.2653,0.0127,0.2687,21.2653
AMD,0,8.5567,0.0262,0.1081,8.5567
AMD,2,4.0743,0.0348,0.0515,4.0743
AUO,3,25.3812,0.0151,0.9545,25.3812
AUO,0,5.9897,0.0184,0.2252,5.9897
AUO,1,4.7865,0.0108,0.1800,4.7865
AUO,2,2.0371,0.0174,0.0766,2.0371
BMW,3,6.1738,0.0037,0.7125,6.1738
BMW,1,5.7438,0.0130,0.6629,5.7438
BMW,0,1.7113,0.0052,0.1975,1.7113
BMW,2,1.0186,0.0087,0.1176,1.0186
BOE,3,97.4090,0.0581,0.9828,97.4090
BOE,0,13.6907,0.0420,0.1381,13.6907
BOE,1,11.4876,0.0259,0.1159,11.4876
BOE,2,4.0743,0.0348,0.0411,4.0743
BYD,3,8.9177,0.0053,0.9559,8.9177
BYD,0,2.5670,0.0079,0.2752,2.5670
BYD,1,0.9573,0.0022,0.1026,0.9573
CES,3,2.7439,0.0016,0.9442,2.7439
CES,1,0.9573,0.0022,0.3294,0.9573
CSOT,3,51.4484,0.0307,0.9936,51.4484
CSOT,0,4.2783,0.0131,0.0826,4.2783
CSOT,1,3.8292,0.0086,0.0740,3.8292
CSOT,2,1.0186,0.0087,0.0197,1.0186
Counterpoint,3,0.6860,0.0004,1.0000,0.6860
ETRI,3,0.6860,0.0004,1.0000,0.6860
HP,2,3.0557,0.0261,0.9757,3.0557
HP,3,0.6860,0.0004,0.2190,0.6860
IEC,3,6.1738,0.0037,1.0000,6.1738
IEEE,3,4.1159,0.0025,0.9791,4.1159
IEEE,0,0.8557,0.0026,0.2035,0.8557
ITU,3,6.1738,0.0037,1.0000,6.1738
Innolux,3,27.4391,0.0164,0.9192,27.4391
Innolux,0,9.4123,0.0289,0.3153,9.4123
Innolux,1,5.7438,0.0130,0.1924,5.7438
Innolux,2,4.0743,0.0348,0.1365,4.0743
IoT,3,14.4056,0.0086,0.9572,14.4056
IoT,1,2.8719,0.0065,0.1908,2.8719
IoT,0,2.5670,0.0079,0.1706,2.5670
IoT,2,2.0371,0.0174,0.1354,2.0371
JDI,3,16.4635,0.0098,0.9791,16.4635
JDI,0,3.4227,0.0105,0.2035,3.4227
KAIST,3,6.1738,0.0037,1.0000,6.1738
LG디스플레이,3,163.9489,0.0977,0.9959,163.9489
LG디스플레이,0,11.9793,0.0367,0.0728,11.9793
LG디스플레이,1,8.6157,0.0194,0.0523,8.6157
LG디스플레이,2,2.0371,0.0174,0.0124,2.0371
LG전자,3,87.8053,0.0523,0.7041,87.8053
LG전자,1,86.1569,0.1944,0.6908,86.1569
LG전자,0,18.8247,0.0577,0.1509,18.8247
LG전자,2,8.1486,0.0696,0.0653,8.1486
LG화학,3,11.6616,0.0070,0.9123,11.6616
LG화학,0,5.1340,0.0157,0.4016,5.1340
LG화학,2,1.0186,0.0087,0.0797,1.0186
SID,3,4.8019,0.0029,0.9637,4.8019
SID,2,1.0186,0.0087,0.2044,1.0186
SID,0,0.8557,0.0026,0.1717,0.8557
SK하이닉스,3,32.9270,0.0196,0.8740,32.9270
SK하이닉스,0,17.9690,0.0551,0.4769,17.9690
SK하이닉스,1,2.8719,0.0065,0.0762,2.8719
