topic_id,word,prob
0,수출이,1.0
0,ict,0.870688961661727
0,수출,0.8122989075342669
0,역대,0.7073008874197545
0,반도체,0.6103037797244022
0,컴퓨터,0.5221245712211863
0,달러로,0.45589276896876624
0,증가했다,0.45087277980393553
0,휴대폰,0.4016552370016807
0,기록했다,0.3531891475963523
1,상품을,1.0
1,선보인다,0.8076114764404572
1,빡세일,0.7970949745413183
1,매일,0.5615344667293849
1,가을,0.559155536447584
1,최저가,0.5253064366178118
1,오는,0.5047600172659864
1,인기,0.4451175330666605
1,브랜드,0.43829889320903936
1,구매,0.4327951141998315
2,영상,1.0
2,4k,0.7524733314946129
2,카메라,0.5363630671184836
2,sdi,0.5047036393613693
2,기능,0.4808162536164361
2,고화질,0.4289980934571639
2,지원한다,0.4224013487681411
2,당사,0.37308927440715156
2,세로형,0.36572353413819403
2,방송,0.3623604191192045
3,oled,1.0
3,디스플레이,0.7086927793653545
3,ai,0.6108869781169626
3,중국,0.58170071619963
3,반도체,0.48624355361355037
3,패널,0.474009626310477
3,tv,0.46654417523045827
3,3분기,0.42481425759185065
3,핵심,0.41593739529633617
3,한국,0.37950541747659716
