org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
안양시,1,2,1,0,1,0,1,0,1
애플,3,2,4,1,4,4,2,2,7
양사,2,1,1,1,2,4,1,5,1
양산,0,2,1,2,3,0,0,1,0
양윤지,3,3,3,2,2,3,3,4,0
양재,1,2,0,1,0,1,3,1,0
어드바이저,1,1,2,0,3,1,4,2,0
언급하면서,4,2,0,0,1,0,2,0,0
업체들,2,1,1,1,2,4,1,5,1
에너지,1,1,4,2,3,2,3,3,1
에서,3,3,1,2,4,0,2,3,0
에이서,2,2,1,0,2,1,2,2,1
에이전트,2,1,1,0,2,0,5,1,0
엔비디아,12,6,4,2,1,2,8,6,0
여의도,1,1,2,0,3,1,4,2,0
역할,6,6,5,5,4,6,6,7,0
연계,2,1,0,1,0,0,3,0,1
연료전지,2,2,7,4,6,2,6,3,1
연준,4,2,0,0,0,1,2,2,0
영국,8,3,0,0,2,0,4,0,0
영업,1,1,2,0,2,0,3,0,0
오늘,1,0,2,1,3,1,3,1,1
오전,1,2,1,0,1,0,1,0,1
온사이트,1,1,3,2,3,0,3,0,0
올레드,2,1,1,1,2,4,1,5,1
올인원,1,1,2,0,2,0,3,0,0
올해,10,7,9,7,4,8,10,11,1
외부,3,3,3,2,2,3,3,4,0
우리,8,3,0,0,2,0,4,0,0
우리나라,4,3,3,2,1,1,4,3,0
우수기업센터,1,2,0,1,0,1,3,1,0
운영,2,1,0,1,0,0,3,0,1
운전자,2,4,2,0,2,1,7,0,1
울트라,1,2,2,0,1,0,3,1,0
위한,0,1,4,3,5,1,4,2,0
위해,3,4,4,3,5,5,8,3,1
유럽,0,2,1,2,3,0,0,1,0
유리,1,5,1,2,3,2,2,2,2
유통,1,1,1,1,1,4,2,1,1
육성에,1,1,3,1,4,0,3,1,0
의장,7,3,0,0,1,1,4,4,0
이날,7,2,1,0,1,0,4,3,0
이더리움,1,0,1,0,2,0,4,1,0
이데일리,1,5,1,2,3,2,2,2,2
이배운,1,5,1,2,3,2,2,2,2
이번,2,3,5,3,7,2,6,4,1
이상,3,4,6,6,7,4,7,5,0
이어,1,2,2,2,1,1,0,0,5
이용,1,1,2,0,2,0,3,0,0
이용자,1,3,0,0,0,1,4,0,1
이재용,0,3,10,6,6,6,2,7,15
이제,1,3,0,0,0,1,3,2,1
이준희,3,3,2,3,2,3,3,3,0
이차전지,4,5,9,9,9,6,8,7,2
이후,4,2,0,0,0,1,2,2,0
인도네시아,3,1,3,3,1,4,3,4,1
인텔,2,2,1,0,2,1,2,2,1
인포테인먼트,1,5,1,2,3,2,2,2,2
인하,7,3,0,0,1,1,4,4,0
일주일간,1,2,2,0,1,0,3,1,0
입사,1,2,1,0,0,1,3,2,0
입주,1,2,0,1,0,1,3,1,0
있고,1,1,2,0,2,0,3,0,0
있는,5,8,5,2,10,4,12,7,3
있다,4,3,4,0,2,1,4,3,0
있다.,34,44,57,44,55,38,68,51,25
자격,1,2,1,0,0,1,3,2,0
자국,4,1,1,0,0,0,2,1,0
자동차,2,8,6,6,6,3,5,6,2
장비,4,5,9,9,9,6,8,7,2
장소,1,3,0,0,0,1,4,0,1
장중,3,1,0,0,1,0,2,2,0
재생,1,1,2,0,3,1,4,2,0
저가,0,1,3,2,1,2,1,3,5
적용된,2,2,1,0,2,1,2,2,1
전기차,1,5,1,2,3,2,2,2,2
전략,0,0,3,2,2,2,0,2,5
전력,1,1,3,2,3,0,3,0,0
전성수,1,2,0,1,0,1,3,1,0
전용,4,1,1,0,0,0,2,1,0
절차,1,2,1,0,0,1,3,2,0
젊은,1,3,0,0,0,1,3,2,1
점검했다.,0,1,6,4,3,4,1,5,10
정보,1,3,0,0,0,1,3,2,1
정부,4,3,3,2,1,1,4,3,0
정상회,1,1,1,1,1,4,2,1,1
제닉스로보틱스,1,0,2,1,3,1,3,1,1
제조,2,2,5,4,5,3,4,3,1
제주,1,1,3,1,4,0,3,1,0
제주에,1,1,3,1,4,0,3,1,0
제품,4,5,12,7,13,4,12,7,2
조건,1,3,0,0,0,1,4,0,1
종목,1,1,2,0,3,1,4,2,0
종합기업으로,3,3,2,3,2,3,3,3,0
좋은,1,3,0,0,0,1,4,0,1
좋은정보,1,1,2,0,3,1,4,2,0
주가,5,2,4,2,3,0,5,1,0
주요,2,6,11,5,12,6,9,7,4
주행,1,7,2,4,6,2,2,3,2
중견기업,4,3,3,2,1,1,4,3,0
중국,7,6,6,3,6,8,4,8,8
중소기업,4,3,3,2,1,1,4,3,0
지금,4,3,3,2,1,1,4,3,0
지난,2,8,14,8,10,8,2,8,23
지도,1,3,0,0,0,1,4,0,1
지역사회,2,1,0,1,0,0,3,0,1
지원,2,4,1,1,0,2,6,3,0
지포스,2,2,1,0,2,1,2,2,1
직무별,1,2,1,0,0,1,3,2,0
직접,1,6,8,5,6,5,1,4,15
진로,2,1,0,1,0,0,3,0,1
진행한다.,1,2,1,0,0,1,3,2,0
차량,2,6,3,2,5,2,5,2,2
차량용,0,1,3,2,1,2,1,3,5
차례,4,2,0,0,0,1,2,2,0
찰스,8,3,0,0,2,0,4,0,0
찾아,1,7,15,10,8,8,1,9,30
채용,1,2,1,0,0,1,3,2,0
천지일보,0,0,3,2,2,1,0,2,5
첨단기술,1,2,2,3,3,0,3,2,1
초대형,1,1,1,1,1,4,2,1,1
최대호,1,2,1,0,1,0,1,0,1
최신,4,1,1,0,0,0,2,1,0
최초,1,0,2,1,3,1,3,1,1
추가,4,2,0,0,0,1,2,2,0
추격,1,2,2,2,1,1,0,0,5
충남,0,2,9,6,5,4,0,6,15
충전,0,2,1,2,3,0,0,1,0
친환경,1,1,4,2,3,2,3,3,1
카메라,0,2,2,0,3,3,1,2,2
카페,1,3,0,0,0,1,4,0,1
칼럼니스트,1,3,0,0,0,1,3,2,1
캠퍼스,0,2,2,1,2,2,0,2,5
커세어,2,2,1,0,2,1,2,2,1
컨설팅,3,3,6,3,3,5,5,6,1
