term,cur,prev,diff,ma7,z_like,total
이재용,10,0,10,1.833,3.469,11
아산,5,0,5,1.0,2.0,6
점검,4,0,4,0.667,1.835,4
방문,4,0,4,0.833,1.655,5
영예,3,0,3,0.5,1.464,3
윈저성,3,0,3,0.5,1.464,3
인생,3,0,3,0.5,1.464,3
최고의,3,0,3,0.5,1.464,3
트럼프,3,0,3,0.5,1.464,3
행보,3,0,3,0.667,1.285,4
ar,2,0,2,0.333,1.057,2
gam,2,0,2,0.333,1.057,2
광학,2,0,2,0.333,1.057,2
국빈만찬,2,0,2,0.333,1.057,2
생산라인,2,0,2,0.333,1.057,2
성장궤도,2,0,2,0.333,1.057,2
성장트랙,2,0,2,0.333,1.057,2
수정광전,2,0,2,0.333,1.057,2
아산캠퍼스,2,0,2,0.333,1.057,2
아이비젼웍스,2,0,2,0.333,1.057,2
역할,2,0,2,0.333,1.057,2
올려줄,2,0,2,0.333,1.057,2
인하에도,2,0,2,0.333,1.057,2
코윈테크,2,0,2,0.333,1.057,2
클라쓰,2,0,2,0.333,1.057,2
현장경영,2,0,2,0.333,1.057,2
10년,2,0,2,0.5,0.879,3
경영,2,0,2,0.5,0.879,3
구글,2,0,2,0.5,0.879,3
금리,2,0,2,0.5,0.879,3
뉴욕증시,2,0,2,0.5,0.879,3
차기,2,0,2,0.5,0.879,3
혼조,2,1,1,0.5,0.879,3
현장,4,0,4,2.0,0.828,12
