org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
100m,0,0,0,1,1,1,2,1,0,0
120Hz,0,4,1,2,1,0,0,0,0,1
1분기,0,0,0,0,1,0,0,0,0,0
1위,0,0,1,1,0,0,0,0,0,1
1차,0,0,0,3,3,0,0,0,0,15
2023년,0,0,5,2,0,0,0,1,1,1
2o,0,2,1,0,4,0,0,0,0,0
2분기,0,1,1,3,1,1,1,1,0,0
2차,0,0,1,5,4,0,0,0,0,17
2차전지,0,0,2,2,1,0,1,1,0,2
3a,0,1,1,0,3,0,0,0,0,0
3년간,0,0,5,1,2,0,0,0,0,0
3분기,0,1,3,4,3,1,2,1,0,0
4855억,0,1,3,4,3,1,2,1,0,0
48m,0,1,1,1,2,0,0,0,0,0
4MATIC,1,2,2,3,0,1,2,1,1,1
4o,0,1,1,0,3,0,0,0,0,0
56km로,0,0,0,1,1,1,2,1,0,0
5개,0,1,1,1,2,0,0,0,0,0
8.6세대,0,0,7,2,1,0,0,1,2,0
8개국,0,0,1,1,0,0,0,0,0,0
8월,0,0,1,1,0,0,0,0,0,0
900회,0,0,0,1,1,1,2,1,0,0
AI,3,9,19,22,9,9,10,9,1,4
AMG,1,2,2,3,0,1,2,1,1,1
AWD,1,2,2,3,0,1,2,1,1,1
BOE,0,0,12,3,3,0,0,1,2,0
CBC뉴스,0,0,0,0,1,0,0,0,2,0
CHOSUN,0,0,1,0,2,0,0,0,0,0
Copyright,0,1,1,1,0,5,2,4,0,1
CPU,0,0,1,2,0,0,0,0,0,0
CSOT,0,0,3,1,1,0,0,0,1,0
CT,0,0,1,0,2,0,0,0,0,0
Design,0,4,6,4,3,4,4,4,0,1
D램,0,1,1,2,1,0,0,0,0,0
ENA,0,0,1,0,1,0,0,0,0,0
ESS,0,0,2,2,1,0,1,1,0,2
FE,1,2,2,6,1,2,2,2,0,1
GDP,0,0,0,0,1,0,0,0,0,0
GFX,0,2,2,3,0,1,1,1,0,1
GLC,0,0,0,1,1,1,2,1,0,0
GTX,1,0,1,1,0,0,1,1,0,0
HBM,0,1,1,2,1,0,0,0,0,0
HP,1,0,0,2,2,0,0,0,1,0
HPSP,0,1,3,3,1,0,0,1,0,2
HP코리아,1,0,0,2,2,0,0,0,1,0
IDEA,0,10,17,14,12,51,23,45,0,8
iF,1,2,2,4,6,15,4,18,0,4
IT용,0,0,7,2,1,0,0,1,2,0
JTBC,0,1,0,0,0,0,0,0,0,0
JV,1,1,3,3,2,0,0,1,1,1
KBS,0,0,1,1,2,0,0,0,0,1
KH바텍,0,1,0,2,1,0,1,0,0,1
KR,0,0,1,0,2,0,0,0,0,0
KT,1,1,3,3,2,0,0,1,1,1
LCD,0,8,27,16,16,35,8,29,0,6
