topic_id,word,prob
0,oled,1.0
0,디스플레이,0.5509959684037201
0,중국,0.49215776831126457
0,tv,0.4561197479338892
0,lcd,0.28891466503967556
0,차량용,0.2841077829883901
0,한국,0.26950042848335354
0,기술,0.23301168999382504
0,프리미엄,0.23055608344866352
0,시장에서,0.22052009182046284
1,기술,1.0
1,에너지,0.8674501899894597
1,소재,0.8184763814098759
1,이를,0.8148155580199312
1,개발,0.716384982914743
1,경쟁력,0.6201332438659382
1,인프라,0.5186469253809763
1,이는,0.5166847242888271
1,국가,0.5015885306154775
1,투자,0.49275313558007244
2,중국,1.0
2,디스플레이,0.5962321944284146
2,이제,0.5328173437310414
2,결국,0.4696576627076948
2,있고,0.44054400890887163
2,기업,0.4316368973648296
2,어떤,0.4314307052479464
2,중국의,0.3855575995760696
2,중국은,0.3512940900283974
2,어떻게,0.34923607126545714
3,아이폰,1.0
3,프로,0.7271946947214576
3,패널을,0.5146533625222399
3,아이폰17,0.498158596584875
3,ltpo,0.4522162307611546
3,애플이,0.4129446417501199
3,애플,0.3981834876853984
3,oled,0.3567579581131225
3,아이폰 17,0.33977394779753
3,시리즈,0.2923644767163254
4,반도체,1.0
4,ai,0.7191756644118794
4,국민의힘,0.3301423833170053
4,기반,0.32012320981287967
4,조기,0.31986514633633384
4,기술,0.31956555438124046
4,사업,0.30119383538298083
4,시스템,0.29533312294630926
4,기업,0.2877168808349397
4,국회,0.286859719591369
5,will,1.0
5,메타,0.9005798852523986
5,아이폰,0.7599504690959793
5,has,0.6377355049392457
5,its,0.5773576805896389
5,새로운,0.49708960484341946
5,ai,0.47144598532528553
5,ar,0.4457641117525074
5,기기,0.410499474961898
5,also,0.3358485648388279
6,무단,1.0
6,시장은,0.9361745145770161
6,lg디스플레이는,0.906959217778902
6,분석,0.8865201051496472
6,전재,0.8294418027787028
6,무단 전재,0.8294418024203402
6,최고,0.8213665656944263
6,ai,0.7964176622373592
6,copyright,0.7911333016857975
6,안전,0.7582622790811963
7,아이폰17,1.0
7,미국,0.9434217946427382
7,오른,0.7539911622695742
7,사상,0.7532615690626459
7,마감했다,0.6326428436459436
7,애플,0.6220521025450242
7,엔비디아,0.6193502195794194
7,연구원은,0.5582621253510179
7,상승한,0.5122189528844746
7,상승,0.48543302484435547
