org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
폴더블,9,3,3,1,2,0,5,6,3,10,3,2
표면에,0,0,0,4,2,0,0,3,2,0,1,0
표창,5,1,1,1,1,1,2,2,0,2,1,1
푸딩,1,1,3,2,0,0,1,2,2,0,3,1
품절,0,0,0,0,1,0,0,2,1,0,0,0
품질,4,3,1,1,3,1,2,1,2,3,0,1
풍부한,4,1,2,1,3,0,2,2,2,2,1,5
프로,4,2,2,1,4,2,3,1,3,2,0,1
프로젝트,3,2,2,1,4,2,2,1,2,2,0,1
프로젝트에,4,6,4,1,10,6,6,3,2,6,0,2
프리미엄,8,3,3,7,4,3,5,7,3,9,6,2
플라스틱,2,4,2,2,2,5,2,2,3,0,2,0
플랫폼,6,6,7,4,4,2,6,4,5,4,3,2
플렉스,4,0,1,2,2,0,2,2,2,2,1,5
피부,2,4,1,14,3,0,2,5,0,10,4,0
필러,0,0,0,1,0,0,0,3,1,0,1,0
하는,0,0,1,3,0,1,0,1,0,0,1,1
하데스,0,0,2,3,1,2,1,1,1,0,2,1
하락했다.,0,0,0,0,0,0,2,2,2,0,1,0
하루,0,0,0,0,0,0,2,2,2,0,1,0
하반기,18,4,5,3,10,2,10,12,4,20,4,4
학교에,0,1,0,2,0,1,0,2,0,0,0,0
학생들,1,2,0,2,0,0,1,0,1,0,2,0
한국,23,10,12,7,7,5,14,17,9,13,11,6
한국도로공사,0,1,0,1,0,1,0,5,1,0,1,0
한국전자통신연구원,3,0,0,0,0,0,2,0,0,0,1,0
한다,4,2,4,0,0,0,3,4,1,2,2,0
한다.,0,0,0,1,0,0,0,3,1,0,1,0
한라캐스트,10,15,5,8,5,8,9,10,7,5,7,1
한미,0,0,0,0,0,0,1,2,0,0,2,0
한화,0,0,0,0,0,0,0,2,0,0,0,0
할인,1,3,1,7,1,4,3,4,4,0,3,0
함께,1,3,3,11,2,0,1,6,3,4,6,1
해외,0,1,0,2,0,1,0,2,0,0,0,0
해진식품,0,0,0,1,1,0,0,3,1,0,0,0
해커,0,0,1,3,0,1,0,1,0,0,1,1
핵심,10,10,4,3,5,3,7,5,3,7,1,2
했다.,8,6,2,2,4,5,5,5,3,7,3,2
행사,2,0,3,5,0,0,2,3,2,0,3,0
허위사실,0,0,0,0,0,0,0,1,0,0,1,0
허페,13,15,10,3,25,13,17,7,8,15,1,5
혁신,5,5,1,2,3,0,4,1,1,2,4,1
현대모비스,2,3,1,1,0,0,2,1,0,0,1,0
현재,5,1,0,2,1,2,3,1,1,4,2,1
현지,4,8,4,7,3,11,5,7,6,0,3,0
혐의로,0,0,0,0,0,0,0,1,0,0,1,0
협력,3,2,0,1,3,0,2,0,1,2,3,1
협력사,7,7,3,8,5,3,5,2,5,4,4,5
협상,0,0,0,0,0,0,1,2,0,0,2,0
형태,0,0,0,1,0,0,0,3,1,0,1,0
홈케어,1,3,0,10,2,0,1,3,0,6,3,0
홈페이지,5,4,4,2,2,6,4,2,3,0,2,0
화장실,0,1,0,1,0,1,0,5,1,0,1,0
화질,8,1,3,3,4,0,4,5,4,4,2,10
화합,5,1,1,1,1,1,2,2,0,2,1,1
확대될,6,2,3,2,4,5,7,4,3,6,5,2
확보에,2,3,1,1,0,0,2,1,0,0,1,0
확보할,1,1,1,3,1,1,1,0,0,0,0,0
확인할,1,0,0,4,2,5,2,2,0,0,1,0
환율,0,0,0,0,0,0,2,2,2,0,1,0
활용해,1,2,0,2,0,0,1,0,1,0,2,0
회사,4,0,0,1,1,1,2,1,0,4,2,1
효과,1,3,1,12,2,0,1,4,0,8,4,0
효과적인,0,1,0,3,1,0,0,1,0,2,1,0
효율,4,4,4,4,0,0,6,4,3,4,5,0
후지,0,0,0,0,0,1,0,2,1,0,0,0
흑자,3,1,1,0,3,0,1,2,1,4,1,1
힘을,0,0,2,3,1,2,1,1,1,0,2,1
