org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
1000만,2,3,2,4,2,3,5,2,2,4,2
16S,3,1,1,1,2,3,3,2,4,2,5
1차,1,1,0,0,4,3,1,1,1,2,1
256GB,1,1,0,1,3,4,1,5,1,1,2
2o,0,0,0,0,0,0,0,0,0,0,2
48MP,1,1,0,1,3,4,1,5,1,1,2
4o,0,0,0,0,0,0,0,0,0,0,2
4년제,2,1,0,2,1,2,0,1,0,2,2
9월,2,1,0,0,1,2,1,1,0,1,0
A.I.,1,1,1,0,2,2,0,0,0,2,0
AI,18,17,3,5,23,17,7,3,7,24,5
Air,1,1,0,1,3,4,1,5,1,1,2
and,1,1,0,1,1,3,1,0,1,2,1
as,1,1,0,1,1,3,1,0,1,2,1
automotive,1,1,0,1,1,3,1,0,1,2,1
BMW,1,1,3,2,0,1,0,4,2,2,3
BOE,2,3,2,4,2,3,5,2,2,4,2
BYD,2,1,5,1,1,1,1,2,1,1,1
CAPA,2,0,1,2,1,3,1,0,2,2,3
Challenge,1,1,1,0,2,2,0,0,0,2,0
Copyright,4,1,0,1,2,2,1,1,1,4,1
DaaS,1,1,0,0,1,1,0,0,0,3,0
DDI,1,0,2,5,1,2,4,2,1,2,2
Display,1,1,0,1,1,3,1,0,1,2,1
ESG,5,2,0,0,2,1,0,0,1,4,1
Finance,1,1,1,0,2,2,0,0,0,2,0
Future,1,1,1,0,2,2,0,0,0,2,0
G03-8236672469,3,8,1,1,4,2,3,0,2,6,0
GAMFF,4,1,0,1,2,2,1,1,1,4,1
gpt-oss,1,2,0,0,3,2,0,0,0,1,0
in,1,1,0,1,1,3,1,0,1,2,1
IoT,1,0,1,3,0,1,3,1,1,2,3
iPhone,1,1,0,1,3,4,1,5,1,1,2
is,1,1,0,1,1,3,1,0,1,2,1
KB국민은행,1,1,1,0,2,2,0,0,0,2,0
KT,2,3,2,0,2,3,0,5,1,1,1
LCD,1,0,2,5,1,2,4,2,1,2,2
Lee,1,1,0,1,1,3,1,0,1,2,1
LG디스플레이,2,3,2,4,2,3,5,2,2,4,2
LX세미콘,1,0,2,5,1,2,4,2,1,2,2
market,1,1,0,1,1,3,1,0,1,2,1
Max,1,1,0,1,3,4,1,5,1,1,2
NH투자증권,2,1,1,3,5,4,2,1,2,2,2
NSP통신,3,8,1,1,4,2,3,0,2,6,0
N수생,2,1,0,2,1,2,0,1,0,2,2
of,1,1,0,1,1,3,1,0,1,2,1
OLED,7,2,4,9,5,11,9,4,8,8,11
on,1,1,0,1,1,3,1,0,1,2,1
PD,0,0,0,0,0,0,0,0,0,0,2
PD2706QN,1,0,0,0,1,2,1,3,4,1,4
PHEV,2,1,5,1,1,1,1,2,1,1,1
Pro,1,1,0,1,3,4,1,5,1,1,2
QHD,1,0,0,0,1,2,1,3,4,1,2
RNGD,1,2,0,0,3,2,0,0,0,1,0
Samsung,1,1,0,1,1,3,1,0,1,2,1
SK하이닉스,3,2,1,3,9,7,3,2,3,4,3
the,1,1,0,1,1,3,1,0,1,2,1
to,1,1,0,1,1,3,1,0,1,2,1
USB,3,1,1,1,2,3,3,2,4,2,5
