term,cur,prev,diff,ma7,z_like,total
idea,33,0,33,4.714,8.919,33
디자인,30,0,30,4.429,8.237,31
수상,28,0,28,4.714,7.343,33
어워드,18,0,18,2.571,5.926,18
47개,14,0,14,2.0,4.971,14
경동나비엔,11,0,11,1.571,4.184,11
공모전,10,0,10,1.429,3.905,10
2025,26,2,24,9.857,3.9,69
2개,9,0,9,1.286,3.615,9
금상,9,0,9,1.286,3.615,9
본상,9,0,9,1.286,3.615,9
코웨이,9,0,9,1.286,3.615,9
포함,9,0,9,1.429,3.449,10
삼성전자,17,0,17,5.571,3.401,39
lg전자,11,3,8,2.571,3.237,18
삼성d,8,0,8,1.286,3.146,9
아이콘,7,0,7,1.0,3.0,7
정수기,7,0,7,1.0,3.0,7
이유,7,0,7,1.286,2.678,9
김병만,6,0,6,0.857,2.67,6
롯데카드,6,0,6,0.857,2.67,6
에서,6,0,6,1.143,2.348,8
16년,5,0,5,0.714,2.323,5
20일,5,0,5,0.714,2.323,5
않는,5,0,5,0.714,2.323,5
에이팩트,5,0,5,0.714,2.323,5
재평가,5,0,5,0.714,2.323,5
황금연휴,5,0,5,0.714,2.323,5
카메라,6,0,6,1.286,2.209,9
프로,7,0,7,1.857,2.177,13
초점,5,0,5,0.857,2.151,6
햇살,5,1,4,0.857,2.151,6
tv,10,0,10,3.714,2.147,26
디스플레이,11,0,11,4.429,2.117,31
지원,6,1,5,1.429,2.082,10
55,4,0,4,0.571,1.953,4
6세대,4,0,4,0.571,1.953,4
eterna,4,0,4,0.571,1.953,4
gf,4,0,4,0.571,1.953,4
gfx,4,0,4,0.571,1.953,4
hpsp,4,0,4,0.571,1.953,4
sfa반도체,4,0,4,0.571,1.953,4
가전산업의,4,0,4,0.571,1.953,4
굳건,4,0,4,0.571,1.953,4
눈물이,4,0,4,0.571,1.953,4
라지,4,0,4,0.571,1.953,4
렌즈,4,0,4,0.571,1.953,4
맹추격,4,0,4,0.571,1.953,4
몰락,4,0,4,0.571,1.953,4
무쌍,4,0,4,0.571,1.953,4
샤프,4,0,4,0.571,1.953,4
수리온,4,0,4,0.571,1.953,4
시네마,4,0,4,0.571,1.953,4
신동빈,4,0,4,0.571,1.953,4
액정,4,0,4,0.571,1.953,4
오후,4,0,4,0.571,1.953,4
왕국,4,0,4,0.571,1.953,4
인텍플러스,4,0,4,0.571,1.953,4
일본,4,0,4,0.571,1.953,4
재계,4,0,4,0.571,1.953,4
제품,4,0,4,0.571,1.953,4
주룩,4,0,4,0.571,1.953,4
청신호,4,0,4,0.571,1.953,4
총수들의,4,0,4,0.571,1.953,4
타임빌라스,4,0,4,0.571,1.953,4
테슬라,4,0,4,0.571,1.953,4
포맷,4,0,4,0.571,1.953,4
피에스,4,0,4,0.571,1.953,4
