org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
...국산,0,0,0,0,0,0,0,2
10월,1,0,0,0,1,1,0,3
2020년,2,1,5,2,0,2,1,2
2023년,4,1,4,3,2,2,1,1
2025년,0,0,2,0,0,0,0,1
2o,0,0,2,2,0,0,0,0
2종,1,0,0,0,1,1,0,3
2차전지,2,2,1,3,1,1,1,1
3a,0,0,1,1,0,0,0,0
3년간,2,0,2,4,0,2,0,1
3분기,2,2,1,3,0,0,2,0
3종,0,2,1,0,0,0,1,2
4855억,2,2,1,3,0,0,2,0
4성,0,2,1,0,0,0,1,2
4시간,1,0,0,0,0,0,0,0
7호실,0,1,0,0,0,0,0,0
8.6세대,5,2,4,5,0,1,2,3
8월,0,0,2,0,0,0,0,1
9월,3,1,2,0,3,0,1,5
AI,21,29,16,22,20,18,15,10
AMD,4,2,2,1,0,1,0,1
Apple,4,0,2,2,10,6,2,3
A사,2,0,2,1,0,0,0,2
A씨,2,1,0,0,1,2,0,0
BOE,10,4,9,13,0,4,3,6
CBC뉴스,0,1,1,0,1,1,2,1
CHOSUN,0,0,2,2,0,0,0,0
Copyright,1,0,2,0,1,0,0,2
CPU,6,5,2,2,0,3,1,1
CSOT,3,1,1,2,0,0,1,2
Design,2,10,4,6,6,2,6,2
DUNK,1,0,0,0,1,1,0,3
ESS,2,2,1,3,1,1,1,1
ETERNA,4,0,2,2,10,6,2,3
FE,2,4,2,3,2,3,2,0
FIRST,1,0,0,0,1,1,0,3
GF,2,0,1,1,5,3,1,2
GF32-90mmT3.5,2,0,1,1,5,3,1,2
GFX,6,3,3,4,15,10,4,5
HPSP,2,2,1,3,1,1,1,0
HS효성더클래스,2,2,2,0,4,1,2,4
IDEA,5,16,10,14,16,5,36,2
iF,1,2,3,2,1,0,5,0
is,0,0,1,1,0,0,0,0
ITC,3,2,3,4,0,1,1,2
IT매체,2,1,0,0,1,2,2,1
IT용,5,2,4,5,0,1,2,3
JV,3,2,4,2,1,0,1,5
KODEX,4,2,2,2,1,0,1,1
KT,3,2,4,2,1,0,1,5
LCD,9,9,17,20,9,11,22,4
LCK,9,2,6,2,0,0,0,2
LG,1,2,3,2,1,0,5,0
LG디스플레,2,2,1,3,0,0,2,0
LG디스플레이,2,2,1,3,0,0,2,0
LG전자,13,12,19,17,6,11,11,10
LTPO,3,2,3,4,0,1,1,2
MBN,3,0,1,1,1,0,0,0
MC,3,0,1,1,1,0,0,0
NCT,0,0,2,0,0,0,0,1
NC다이노스,1,0,0,0,1,0,0,0
OLED,24,14,27,34,5,16,8,15
ProRes,4,0,2,2,10,6,2,3
RU,2,0,2,1,0,0,0,2
Samsung,3,15,6,9,9,3,9,3
SK하이닉스,2,0,2,1,0,0,0,2
SLAM,1,0,0,0,1,1,0,3
TCL,2,1,5,2,0,2,1,2
THE,1,0,0,0,1,1,0,3
the,0,0,1,1,0,0,0,0
TIGER,4,2,2,2,1,0,1,1
TSMC,4,2,2,1,0,1,0,1
TV리포트,0,0,1,1,1,1,0,0
UI,3,2,0,0,0,3,1,0
XX,2,1,0,0,1,2,0,0
가격,12,7,12,16,3,10,4,9
가능,0,1,0,0,0,0,0,0
가능성,4,0,3,0,3,2,0,5
가능한,1,1,0,1,2,3,2,0
가방,1,1,2,0,0,1,1,1
가보자GO,3,0,1,1,1,0,0,0
가장,2,1,0,0,1,2,2,1
가정에,2,0,2,0,1,0,0,2
가진,4,1,2,0,1,0,0,3
각각,2,2,1,3,1,1,1,0
각각각,2,2,1,3,1,1,1,0
감각,3,0,1,0,2,2,0,3
감성,1,1,0,1,2,3,2,0
강조했다.,2,2,1,3,2,2,1,0
개발,2,2,1,3,1,1,1,1
개인,0,0,2,0,0,0,0,1
개통,2,0,0,1,4,3,1,0
갤럭시,5,21,9,12,11,6,12,5
거래,4,2,2,2,1,0,1,1
거래일,2,2,1,3,1,1,1,0
검사장비,2,2,1,3,1,1,1,1
것으로,16,9,12,13,1,4,5,4
것이,3,2,0,0,0,3,1,0
것이다.,1,1,2,0,0,1,1,1
게이밍,2,3,1,2,5,4,2,2
게임,4,1,2,1,0,0,0,1
결혼,4,1,2,1,0,0,0,1
결혼식,4,1,2,1,0,0,0,1
경기남부경찰청,1,0,0,0,1,0,0,0
경기도,3,1,2,0,3,0,1,5
경동나비엔,3,3,3,6,2,0,15,0
경직된,1,1,4,4,0,2,0,0
경험,1,5,2,3,3,1,3,1
계절,2,0,0,0,0,0,0,0
고객,6,6,9,4,6,1,8,9
고속도로,1,0,0,0,1,0,0,0
고속도로순찰대,1,0,0,0,1,0,0,0
고유무기,0,2,1,0,0,0,1,2
공연,3,1,2,0,3,0,1,5
공원,1,0,1,1,2,2,0,2
공정,4,3,3,7,2,5,2,2
공주,4,0,1,0,2,1,0,4
과세,2,0,2,1,0,0,0,2
과수원,1,0,2,0,1,0,0,2
관광,1,0,0,0,1,0,0,0
관광객,1,0,0,0,1,0,0,0
관련,2,0,2,1,0,0,0,2
관리,2,1,0,0,0,3,1,0
관세,5,2,5,5,1,2,1,4
광학,2,0,1,1,5,3,1,1
교사,4,1,2,0,1,0,0,3
교사들,4,1,2,0,1,0,0,3
교수,2,1,0,0,0,1,0,0
교원,4,1,2,0,1,0,0,3
교육,2,3,1,2,5,4,2,2
교인들,5,0,1,0,0,1,0,2
교회,5,0,1,0,0,1,0,2
구조,2,2,1,3,0,0,2,0
국방부,4,0,1,0,2,1,0,4
국세청,2,0,2,1,0,0,0,2
국제뉴스,2,1,0,0,0,1,0,0
권씨,2,0,2,0,1,0,0,2
권위,0,3,3,3,5,2,15,0
그냥,2,1,0,0,1,2,0,0
그래서,5,0,1,0,0,1,0,2
그러면,5,0,1,0,0,1,0,2
그런,5,0,1,0,0,1,0,2
그룹장,2,2,1,3,2,2,1,0
근데,5,0,1,0,0,1,0,2
근시,1,0,0,0,0,0,0,0
근시에,1,0,0,0,0,0,0,0
글래스,2,1,0,0,1,2,2,1
기능,4,13,4,6,9,5,6,2
기동,0,0,0,0,0,0,0,2
기반,4,4,1,2,5,7,3,2
기업들,3,1,1,2,0,0,1,2
기자,9,3,4,3,6,4,5,4
기존,0,1,1,1,1,0,5,0
기준,2,3,1,2,5,4,2,2
기지국,3,2,4,2,1,0,1,5
기탁,1,0,0,0,1,0,0,0
김도훈,0,0,1,1,1,1,0,0
김병만,4,2,3,2,0,0,0,2
김영일,0,1,1,1,2,1,5,0
김우진,0,1,0,0,0,0,0,0
김유정,0,0,1,1,1,1,0,0
김포에서,2,1,2,1,1,1,0,4
김하성,5,1,4,1,0,0,0,1
꼽힌다.,0,1,1,1,3,1,5,0
꾸러미,2,0,2,0,1,0,0,2
나눔,1,0,0,0,1,0,0,0
나비엔,1,2,1,4,1,0,7,0
나이아가라,1,0,1,1,2,2,0,2
남편,5,1,1,1,2,2,0,0
내구성,0,1,1,0,1,1,2,1
내수시장,1,1,4,4,0,2,0,0
내용,3,0,4,1,0,1,0,1
너머,3,0,1,0,2,2,0,3
너무,2,2,2,0,1,2,2,0
네이버지도,2,0,2,0,1,0,0,4
농가,1,0,2,0,1,0,0,2
높였으며,0,2,1,4,0,0,7,0
뉴스,3,0,1,0,2,2,0,3
뉴스핌,4,0,1,0,2,1,0,4
뉴시스,2,1,0,0,1,2,0,0
뉴아틀라스,1,1,0,1,2,3,2,0
능선,0,0,0,0,0,0,0,2
다.,2,2,1,3,1,1,1,0
다른,3,0,1,0,2,2,0,3
다양한,10,14,9,8,13,6,8,11
다임러트럭,2,1,0,0,0,3,1,0
담백함,2,0,0,0,0,0,0,0
당국,2,0,2,1,0,0,0,2
대구보건대학교,2,1,0,0,0,1,0,0
대비,6,4,3,5,2,1,2,1
대신,2,0,0,0,0,0,0,0
대운산업개발,1,0,0,0,1,0,0,0
대통령,3,0,4,1,0,1,0,1
대표,3,1,3,2,3,3,0,6
대표단,1,0,1,1,2,2,0,2
대한,1,0,2,0,1,0,0,2
대화,2,1,0,0,1,2,2,1
댓글,0,1,0,0,0,0,0,0
더퍼블릭,0,1,1,1,2,1,5,0
데이터센터,5,6,5,7,3,5,3,2
덱스,2,3,0,0,3,3,0,0
덱스에서,2,3,0,0,3,3,0,0
도구,2,1,0,0,0,1,0,0
도쿄게임쇼,2,0,2,0,1,0,0,4
독서대전,2,1,2,1,1,1,0,4
독서축제,2,1,2,1,1,1,0,4
독자들,2,1,2,1,1,1,0,4
둘의,0,0,1,1,1,1,0,0
드라마,3,0,2,2,2,1,0,0
드라이버,2,1,2,4,1,4,1,1
드림에이지,2,0,2,0,1,0,0,4
들고,1,1,2,0,0,1,1,1
등을,2,2,1,3,1,1,1,0
등이,1,2,3,2,1,0,5,0
디바이스,3,2,0,0,0,3,1,0
디스플레,10,7,5,6,4,7,4,4
디자인,11,26,17,23,22,9,55,3
