org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,4,0.7302,0.0011,0.7164,0.7302
AMD,3,0.7112,0.0014,0.6977,0.7112
ASUS,4,2.9208,0.0044,0.5084,2.9208
ASUS,3,2.8447,0.0058,0.4952,2.8447
ASUS,1,2.3483,0.0075,0.4088,2.3483
ASUS,5,2.2700,0.0185,0.3951,2.2700
ASUS,0,2.1616,0.0046,0.3763,2.1616
ASUS,2,0.7401,0.0011,0.1288,0.7401
ASUS,6,0.7020,0.0011,0.1222,0.7020
BMW,0,2.1616,0.0046,0.8062,2.1616
BMW,3,1.4223,0.0029,0.5305,1.4223
BMW,6,0.7020,0.0011,0.2618,0.7020
BOE,4,37.2396,0.0563,0.7086,37.2396
BOE,3,28.4466,0.0577,0.5413,28.4466
BOE,6,17.5509,0.0277,0.3340,17.5509
BOE,2,10.3615,0.0147,0.1972,10.3615
BOE,7,9.1297,0.0189,0.1737,9.1297
BOE,0,5.7644,0.0122,0.1097,5.7644
BOE,1,4.6966,0.0150,0.0894,4.6966
BOE,5,3.4049,0.0278,0.0648,3.4049
BYD,0,7.2055,0.0152,0.9296,7.2055
BYD,5,2.2700,0.0185,0.2929,2.2700
BYD,6,1.4041,0.0022,0.1811,1.4041
BYD,4,0.7302,0.0011,0.0942,0.7302
BYD,3,0.7112,0.0014,0.0917,0.7112
CES,7,3.0432,0.0063,0.6520,3.0432
CES,2,2.2203,0.0032,0.4757,2.2203
CES,6,2.1061,0.0033,0.4512,2.1061
CES,4,1.4604,0.0022,0.3129,1.4604
CES,0,0.7205,0.0015,0.1544,0.7205
CES,3,0.7112,0.0014,0.1524,0.7112
CSOT,4,18.9849,0.0287,0.7069,18.9849
CSOT,6,11.9346,0.0188,0.4444,11.9346
CSOT,3,11.3787,0.0231,0.4237,11.3787
CSOT,2,6.6609,0.0095,0.2480,6.6609
CSOT,7,6.0864,0.0126,0.2266,6.0864
CSOT,1,2.3483,0.0075,0.0874,2.3483
CSOT,0,1.4411,0.0030,0.0537,1.4411
HMI,2,2.2203,0.0032,0.7812,2.2203
HMI,0,1.4411,0.0030,0.5070,1.4411
HMI,7,0.7608,0.0016,0.2677,0.7608
HMI,6,0.7020,0.0011,0.2470,0.7020
HP,7,6.0864,0.0126,0.5438,6.0864
HP,4,5.1113,0.0077,0.4567,5.1113
HP,2,4.4406,0.0063,0.3968,4.4406
HP,0,4.3233,0.0091,0.3863,4.3233
HP,6,3.5102,0.0055,0.3136,3.5102
HP,1,2.3483,0.0075,0.2098,2.3483
HP,3,2.1335,0.0043,0.1906,2.1335
HP,5,1.1350,0.0093,0.1014,1.1350
Harman,5,2.2700,0.0185,0.4955,2.2700
Harman,0,2.1616,0.0046,0.4718,2.1616
Harman,3,2.1335,0.0043,0.4657,2.1335
Harman,1,1.5655,0.0050,0.3417,1.5655
Harman,2,1.4802,0.0021,0.3231,1.4802
Harman,6,1.4041,0.0022,0.3065,1.4041
IoT,2,8.8812,0.0126,0.7063,8.8812
IoT,6,5.6163,0.0088,0.4467,5.6163
IoT,0,3.6027,0.0076,0.2865,3.6027
IoT,3,3.5558,0.0072,0.2828,3.5558
IoT,7,3.0432,0.0063,0.2420,3.0432
IoT,1,2.3483,0.0075,0.1868,2.3483
IoT,5,2.2700,0.0185,0.1805,2.2700
IoT,4,1.4604,0.0022,0.1161,1.4604
LG디스플레이,3,54.7598,0.1111,0.5314,54.7598
LG디스플레이,4,53.3038,0.0806,0.5173,53.3038
LG디스플레이,6,43.5262,0.0686,0.4224,43.5262
LG디스플레이,2,35.5250,0.0505,0.3448,35.5250
LG디스플레이,7,29.6714,0.0613,0.2880,29.6714
