org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AMD,,,,0.71 (0%),0.73 (0%),,,
ASUS,2.16 (0%),2.35 (1%),0.74 (0%),2.84 (1%),2.92 (0%),2.27 (2%),0.70 (0%),
BMW,2.16 (0%),,,1.42 (0%),,,0.70 (0%),
BOE,5.76 (1%),4.70 (1%),10.36 (1%),28.45 (6%),37.24 (6%),3.40 (3%),17.55 (3%),9.13 (2%)
BYD,7.21 (2%),,,0.71 (0%),0.73 (0%),2.27 (2%),1.40 (0%),
CES,0.72 (0%),,2.22 (0%),0.71 (0%),1.46 (0%),,2.11 (0%),3.04 (1%)
CSOT,1.44 (0%),2.35 (1%),6.66 (1%),11.38 (2%),18.98 (3%),,11.93 (2%),6.09 (1%)
HMI,1.44 (0%),,2.22 (0%),,,,0.70 (0%),0.76 (0%)
HP,4.32 (1%),2.35 (1%),4.44 (1%),2.13 (0%),5.11 (1%),1.13 (1%),3.51 (1%),6.09 (1%)
Harman,2.16 (0%),1.57 (0%),1.48 (0%),2.13 (0%),,2.27 (2%),1.40 (0%),
IoT,3.60 (1%),2.35 (1%),8.88 (1%),3.56 (1%),1.46 (0%),2.27 (2%),5.62 (1%),3.04 (1%)
LG디스플레이,19.45 (4%),13.31 (4%),35.52 (5%),54.76 (11%),53.30 (8%),13.62 (11%),43.53 (7%),29.67 (6%)
LG전자,38.19 (8%),40.70 (13%),48.11 (7%),34.85 (7%),43.81 (7%),4.54 (4%),37.91 (6%),35.76 (7%)
LG화학,10.81 (2%),8.61 (3%),16.28 (2%),2.13 (0%),7.30 (1%),4.54 (4%),13.34 (2%),12.17 (3%)
SID,,,1.48 (0%),0.71 (0%),0.73 (0%),,2.11 (0%),2.28 (0%)
SK하이닉스,25.94 (5%),11.74 (4%),57.73 (8%),9.96 (2%),21.91 (3%),5.67 (5%),39.31 (6%),34.24 (7%)
TCL,2.88 (1%),1.57 (0%),5.18 (1%),4.98 (1%),8.03 (1%),,6.32 (1%),4.56 (1%)
TSMC,3.60 (1%),0.78 (0%),2.96 (0%),0.71 (0%),0.73 (0%),,1.40 (0%),2.28 (0%)
Tianma,,0.78 (0%),1.48 (0%),2.13 (0%),3.65 (1%),,2.81 (0%),1.52 (0%)
V2X,3.60 (1%),2.35 (1%),10.36 (1%),1.42 (0%),2.92 (0%),2.27 (2%),5.62 (1%),3.80 (1%)
Visionox,1.44 (0%),2.35 (1%),5.92 (1%),8.53 (2%),14.60 (2%),,11.23 (2%),3.04 (1%)
구글,31.27 (5%),31.06 (8%),28.45 (3%),21.16 (3%),19.92 (2%),5.63 (4%),26.12 (3%),16.98 (3%)
기아,18.01 (4%),9.39 (3%),27.38 (4%),8.53 (2%),10.95 (2%),2.27 (2%),23.87 (4%),13.69 (3%)
네이버,10.81 (2%),4.70 (1%),17.02 (2%),5.69 (1%),5.11 (1%),3.40 (3%),11.23 (2%),4.56 (1%)
디지타임스,0.72 (0%),,0.74 (0%),2.84 (1%),5.11 (1%),,2.81 (0%),2.28 (0%)
마이크로소프트,2.88 (1%),1.57 (0%),4.44 (1%),0.71 (0%),0.73 (0%),,4.21 (1%),3.80 (1%)
