org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
10회에서,0,0,0,0,0,1,0,0,0,0,0
1군,0,0,0,0,0,0,0,0,1,0,0
1분기,0,0,0,1,0,0,0,0,0,0,0
1위,0,0,0,3,1,3,0,4,1,0,10
1차,0,0,0,0,1,1,0,0,0,0,0
2023년,2,0,0,4,0,0,0,0,0,1,0
2o,0,0,0,0,0,2,0,0,0,0,0
2분기,3,1,1,1,0,0,1,0,0,3,0
2차,0,0,0,0,1,1,0,0,0,0,0
2차전지,1,0,0,2,0,1,1,4,0,3,0
3a,0,0,0,0,0,1,0,0,0,0,0
3년간,2,0,0,3,0,0,0,0,1,0,0
3분기,3,1,1,1,0,0,2,1,3,1,1
4855억,3,1,1,1,0,0,2,1,3,1,1
4MATIC,2,1,1,1,1,1,2,2,1,3,0
4o,0,0,0,0,0,1,0,0,0,0,0
5m,4,8,10,0,0,0,4,0,0,0,0
60m,4,8,10,0,0,0,4,0,0,0,0
8.6세대,4,0,0,7,0,2,0,1,0,2,1
ADVERTISEMENT,0,0,0,0,0,1,0,0,1,1,0
AI,22,8,8,13,2,9,8,23,9,23,24
AMG,2,1,1,1,1,1,2,2,1,3,0
Apple,0,0,0,2,0,1,0,0,0,2,1
AWD,2,1,1,1,1,1,2,2,1,3,0
A씨,1,0,0,0,1,0,0,1,1,1,0
BOE,6,0,0,10,0,2,0,1,1,2,1
CBC뉴스,0,0,0,0,0,0,0,0,0,1,0
CEO,2,0,0,0,0,1,0,2,0,2,0
Copyright,2,5,4,1,0,0,3,0,0,3,0
CPU,3,0,0,0,0,3,0,2,0,7,0
CSOT,2,0,0,3,0,2,0,1,0,1,1
Design,8,4,4,2,0,2,4,3,2,8,2
D램,2,0,0,0,0,0,0,5,0,1,0
ESS,1,0,0,2,0,1,1,4,0,3,0
ETERNA,0,0,0,2,0,1,0,0,0,2,1
FE,6,2,2,1,1,0,2,1,1,8,0
FIDS,4,8,10,0,0,0,4,0,0,0,0
GDP,0,0,0,1,0,0,0,0,0,0,0
GFX,2,1,1,5,0,3,1,2,2,4,2
GPU,2,0,0,0,0,1,0,2,0,2,0
GTX,0,0,0,2,1,1,1,1,1,0,0
HBM,2,0,0,0,0,0,0,5,0,1,0
HP,0,0,0,0,1,2,0,1,0,0,0
HPSP,3,0,0,2,0,2,0,4,0,2,1
HP코리아,0,0,0,0,1,2,0,1,0,0,0
IDEA,30,54,51,12,0,2,33,3,5,34,6
iF,10,19,23,1,1,1,10,1,4,7,0
IT용,4,0,0,7,0,2,0,1,0,2,1
JV,3,0,0,3,2,3,0,3,1,3,1
KT,3,0,0,3,2,3,0,3,1,3,1
LCD,22,30,24,17,1,3,13,2,5,20,1
LCK,0,0,0,0,2,3,0,1,0,0,0
LG,2,3,3,1,1,1,2,1,3,3,0
LG디스플레,3,1,1,1,0,0,2,1,3,1,1
LG디스플레이,3,1,1,1,0,0,2,1,3,1,1
LG이노텍,0,0,0,7,0,1,0,12,0,0,30
LG전자,10,3,3,7,5,6,2,9,10,9,2
MBC,0,0,0,0,0,2,0,0,0,0,0
MBN,0,0,0,0,0,1,0,0,0,0,0
Memories,0,0,0,0,0,1,0,0,2,0,0
OLED,20,0,0,24,3,8,0,10,9,10,3
PC,2,0,0,0,1,3,0,3,0,2,0
ProRes,0,0,0,2,0,1,0,0,0,2,1
Samsung,12,6,6,3,0,3,6,5,3,12,3
SK하이닉스,2,0,0,0,0,0,0,5,0,1,0
TFSI,2,1,1,1,1,1,2,2,1,3,0
The,0,0,0,0,0,1,0,0,2,0,0
가격,10,0,0,5,1,2,0,10,5,3,1
가능하다.,1,0,0,0,1,2,0,1,3,2,0
가능한,2,1,1,2,2,2,1,1,4,2,1
가로,4,8,10,0,0,0,4,0,0,0,0
가솔린,2,1,1,1,1,1,2,2,1,3,0
가전제품,0,0,0,0,1,1,0,1,2,2,0
각각,3,0,0,2,0,2,0,4,0,2,1
각각각,3,0,0,2,0,2,0,4,0,2,1
각막,0,0,0,0,3,4,0,0,0,0,0
감성,1,1,1,2,1,0,1,0,1,0,1
강경헌,0,0,0,0,1,1,0,0,0,0,0
강경헌.,0,0,0,0,1,1,0,0,0,0,0
강미란,0,0,0,0,1,1,0,0,0,0,0
강사,0,0,0,2,16,11,0,3,0,0,2
강세,2,0,0,0,0,0,0,5,0,1,0
강승우,0,0,0,0,1,1,0,0,0,0,0
강의,0,0,0,3,26,17,0,3,0,0,3
강조했다.,1,0,0,2,0,0,0,1,1,2,0
같다.,0,0,0,0,4,2,0,0,1,0,0
같은,0,0,0,2,0,0,0,1,0,2,1
개발,1,0,0,2,0,1,1,4,0,3,0
개방,0,0,0,0,0,1,0,0,2,0,0
개통,1,0,0,1,1,2,0,0,0,2,1
갤럭시,16,7,7,3,1,3,7,6,4,21,3
거래일,3,0,0,2,0,2,0,4,0,2,1
건강,0,0,0,0,8,8,0,0,1,0,0
건강계단,0,0,0,0,1,2,0,0,1,0,0
건물,1,0,0,1,0,1,0,0,0,0,1
검사장비,1,0,0,2,0,1,1,4,0,3,0
것으로,13,2,2,8,1,2,3,7,4,7,1
것이다.,1,0,0,1,0,1,0,0,0,0,1
것이란,2,0,0,0,0,0,0,5,0,1,0
게이밍,2,1,1,3,0,2,1,2,2,2,1
게임,0,0,0,0,2,3,0,1,0,0,0
격차,0,0,0,0,1,2,0,1,0,0,0
결과,0,0,0,0,0,0,0,0,0,1,0
결혼,0,0,0,0,2,3,0,1,0,0,0
경동나비엔,6,11,11,6,0,0,15,0,0,7,3
경직된,2,0,0,4,0,1,0,0,1,1,0
경험,13,15,18,1,1,1,9,3,2,12,1
계단,0,0,0,0,1,2,0,0,1,0,0
고객,5,3,3,4,5,6,2,5,6,8,1
고객경험,8,16,20,0,0,0,8,0,0,4,0
고령,0,0,0,0,1,1,0,0,0,0,0
고부,0,0,0,6,0,1,0,10,0,0,25
공급,2,0,0,0,0,0,0,5,0,1,0
공단,1,0,0,0,1,0,0,1,1,1,0
공모전에서,4,8,10,0,0,0,4,0,0,0,0
공연,0,0,0,0,4,4,0,0,3,0,0
공장,0,0,0,7,0,1,0,12,0,0,30
공정,3,0,0,3,0,1,1,7,2,3,0
공항,4,8,10,0,0,0,4,0,0,2,0
과거,0,0,0,0,0,1,0,0,2,0,0
관계자,1,0,0,0,1,0,0,1,1,1,0
관세,3,0,0,2,1,1,0,1,2,1,1
광학,0,0,0,2,0,1,0,0,0,2,1
광학솔루션,0,0,0,5,0,1,0,10,0,0,25
교육,2,1,1,3,2,5,1,4,4,4,1
교통,0,0,0,2,1,1,1,1,1,0,0
구매,1,0,0,0,1,2,0,1,3,2,0
구미,0,0,0,2,0,0,0,2,0,0,5
구조,3,1,1,1,0,0,2,1,3,1,1
국가,0,0,0,1,0,0,0,0,0,0,0
국제적,2,4,5,0,0,0,2,0,0,1,0
권위,8,20,16,4,0,0,8,0,0,11,0
그녀,0,0,0,3,19,11,0,3,0,0,3
그랑,2,1,1,1,1,1,2,2,1,3,0
그런,0,0,0,0,4,2,0,0,0,0,0
그룹장,1,0,0,2,0,0,0,1,1,2,0
급성,1,0,0,0,1,0,0,1,1,1,0
긍정적인,0,0,0,0,0,0,0,0,0,1,0
기기,1,0,0,0,1,2,0,1,0,4,0
기능,11,5,5,2,1,2,5,4,3,13,2
기능으로,3,1,1,0,1,0,1,1,1,5,0
기반,2,1,1,3,0,2,1,2,2,2,1
기본사회,0,0,0,2,1,1,1,1,1,0,0
기업들,2,0,0,3,0,2,0,1,0,1,1
기자,2,5,4,1,4,3,2,0,1,4,0
기존,2,5,4,2,0,0,2,2,0,2,5
기준,2,1,1,3,0,2,1,2,2,2,1
기지국,3,0,0,3,2,3,0,3,1,3,1
기회,0,0,0,0,0,0,0,0,1,0,0
김영일,2,5,4,1,0,0,2,0,0,3,0
김지원,0,0,0,0,0,1,0,0,1,1,0
김현욱,0,0,0,0,1,1,0,0,0,0,0
꼽힌다.,2,5,4,1,0,0,2,0,0,3,0
나는,1,0,0,1,0,1,0,0,0,0,1
나비엔,3,6,6,4,0,0,10,0,0,4,2
나이키,0,0,0,0,0,1,0,0,0,0,0
날입니다.,0,0,0,0,0,0,0,0,0,1,0
내년,2,0,0,0,0,0,0,5,0,1,0
내수시장,2,0,0,4,0,1,0,0,1,1,0
노년층,0,0,0,0,1,2,0,1,0,0,0
높였으며,3,5,5,4,0,0,10,0,0,2,2
눈이,0,0,0,0,4,2,0,0,0,0,0
뉴아틀라스,1,1,1,2,1,0,1,0,1,0,1
다.,3,0,0,2,0,2,0,4,0,2,1
다양한,15,6,6,6,4,10,6,10,12,20,4
대비,6,1,1,4,0,2,1,4,0,5,1
대형,4,8,10,0,0,0,4,0,0,0,0
더욱,0,0,0,0,0,0,0,0,0,1,0
더퍼블릭,2,5,4,1,0,0,2,0,0,3,0
덕후,0,0,0,0,4,2,0,0,0,0,0
데이터센터,3,0,0,2,1,1,0,1,2,1,1
데이트,0,0,0,0,0,1,0,0,0,0,0
도서,0,0,0,0,1,1,0,1,2,2,0
도시,0,0,0,2,1,1,1,1,1,0,0
독일,6,12,15,0,0,0,6,0,1,3,0
동건,0,0,0,0,0,1,0,0,0,0,0
동성로,0,0,0,0,0,1,0,0,1,0,0
드라이버,2,0,0,1,0,0,0,3,2,0,0
들고,0,0,0,0,0,1,0,0,0,0,0
등을,3,0,0,2,0,2,0,4,0,2,1
등이,2,3,3,1,1,1,2,1,3,3,0
디스플레,13,16,20,5,0,3,8,2,1,4,1
디자인,44,74,74,16,1,4,48,6,9,45,8
따라,7,15,12,5,1,2,6,2,0,10,6
따르면,2,0,0,4,0,0,0,0,0,1,0
때문이다.,3,0,0,2,1,1,0,1,2,1,1
라고,0,0,0,0,0,1,0,0,0,0,0
라인,7,1,1,6,1,2,2,3,3,4,0
라지,0,0,0,2,0,1,0,0,0,2,1
레드닷,2,3,3,1,1,1,2,1,3,3,0
레트로,1,1,1,2,1,0,1,0,1,0,1
렌즈,0,0,0,2,0,1,0,0,0,2,1
로고,0,0,0,0,0,1,0,0,0,0,0
롯데그룹,3,0,0,1,0,0,0,0,0,1,0
롯데호텔에서,3,0,0,1,0,0,0,0,0,1,0
류규하,0,0,0,0,0,1,0,0,1,0,0
마음,0,0,0,0,0,0,0,0,0,1,0
만들,2,0,0,3,0,0,0,0,1,0,0
많이,0,0,0,0,0,0,0,0,1,0,0
말했다.,0,0,0,0,1,1,0,0,1,0,0
맞춤형,5,1,1,0,1,1,1,3,1,7,0
매니저,0,0,0,3,15,9,0,3,0,0,3
매장,3,0,0,1,0,0,0,0,0,1,0
맥북,2,0,0,4,0,0,0,0,0,1,0
메모리,2,0,0,0,0,0,0,5,0,1,0
메트로신문,2,5,4,1,0,0,3,0,0,3,0
명은,0,0,0,0,0,1,0,0,0,0,0
모델,6,2,2,3,2,3,3,2,1,8,1
모두,3,0,0,3,2,3,0,3,1,3,1
모듈,0,0,0,7,0,1,0,12,0,0,30
모바일,12,6,6,3,0,3,6,5,3,12,3
모빌리티,1,0,0,2,0,0,0,1,1,2,0
모자,0,0,0,0,0,1,0,0,0,0,0
모친,0,0,0,0,0,1,0,0,1,1,0
목표,0,0,0,0,1,2,0,0,1,0,0
몰락,2,0,0,4,0,1,0,0,1,1,0
무료,0,0,0,0,3,4,0,0,0,0,0
무빙스타일,2,0,0,1,2,4,0,2,7,5,1
무엇,0,0,0,2,0,0,0,1,0,2,1
미국,4,8,10,0,0,0,4,0,3,2,2
미디어,4,8,10,0,0,0,4,0,0,0,0
미래,0,0,0,0,0,1,0,0,2,0,0
박힌,0,0,0,0,0,1,0,0,0,0,0
반도체,8,0,0,5,0,4,1,13,2,7,1
반등,3,1,1,1,0,0,2,1,3,1,1
받았다.,2,3,3,1,1,1,2,1,3,3,0
발표했다.,2,0,0,4,0,0,0,0,0,1,0
밝혔다.,2,1,1,3,0,2,1,2,2,2,1
밝혔습니다.,2,0,0,0,0,1,0,2,0,2,0
방법,0,0,0,0,1,1,0,1,2,2,0
배우,0,0,0,0,1,1,0,0,0,0,0
배우자,1,0,0,0,1,0,0,1,1,1,0
배터리,5,0,0,2,0,4,0,4,0,11,1
배터리턴,0,0,0,0,1,1,0,1,2,2,0
밴드,0,0,0,0,0,1,0,0,1,0,0
버튼식,2,5,4,1,0,0,2,0,0,2,0
범용,2,0,0,0,0,0,0,5,0,1,0
베트남,0,0,0,7,0,1,0,12,0,0,30
변화에,2,0,0,4,0,1,0,0,1,1,0
별세했다.,0,0,0,0,0,1,0,0,1,1,0
보건복지부,0,0,0,0,1,2,0,0,1,0,0
보세요.,0,0,0,0,0,0,0,0,0,1,0
본상,28,61,60,12,0,0,38,0,3,29,5
부모님,0,0,0,0,0,0,0,0,1,0,0
부문,2,5,4,1,0,0,3,0,0,3,0
부문에서,2,3,3,1,1,1,2,1,3,3,0
부채,0,0,0,1,0,0,0,0,0,0,0
부평구,0,0,0,0,1,2,0,0,1,0,0
