org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
...국산,1,0,0,1,0,0,0,0,0,0,0
.attr,2,1,0,3,1,4,0,3,1,2,1
.css,2,1,0,3,1,4,0,3,1,2,1
.find,2,1,0,3,1,4,0,3,1,2,1
.val,2,1,0,3,1,4,0,3,1,2,1
10월,2,0,0,3,0,1,0,0,1,1,0
1로,0,2,2,1,0,2,1,2,1,0,0
2023년,1,3,1,1,2,2,2,1,4,1,0
2025년,3,2,0,10,1,3,0,2,2,1,1
2026년형,1,3,2,1,3,3,1,3,1,1,1
2026학년도,0,2,2,1,0,2,1,2,1,0,0
26일부터,2,0,0,3,0,2,0,1,1,2,4
2차전지,1,4,3,1,4,2,5,0,3,2,3
3a,0,0,0,1,0,0,0,0,1,0,0
3년간,0,3,0,2,1,2,1,3,5,0,0
3분기,1,2,1,2,3,2,1,2,4,2,0
3종,1,1,2,2,1,0,0,1,0,2,0
40도,0,0,0,1,0,2,0,4,0,0,1
4855억,1,2,1,2,3,2,1,2,4,2,0
4o,0,0,0,1,0,0,0,0,1,0,0
4성,1,1,2,2,1,0,0,1,0,2,0
70명,0,0,0,1,0,2,1,0,0,0,0
7호실,0,0,1,0,0,0,0,0,1,0,0
8.6세대,1,6,2,2,4,4,5,2,7,2,0
8월,0,2,0,2,1,0,0,1,0,0,0
9건,0,3,1,2,2,1,3,1,1,0,0
9월,5,0,1,13,1,6,0,1,3,3,5
AI,10,20,14,19,12,21,19,18,20,26,31
AMD,1,2,1,1,0,4,3,2,0,1,1
Apple,1,2,2,2,2,2,1,2,1,1,4
A씨,0,0,0,1,0,2,0,2,0,1,2
BEATBREAK,2,0,1,5,1,3,0,0,1,2,4
BOE,2,12,4,7,5,9,9,7,17,4,1
BYD,1,3,2,1,3,3,1,3,1,1,1
CBC뉴스,1,1,0,3,0,0,1,0,0,2,1
CD,2,1,0,3,1,4,0,3,1,2,1
CPU,1,3,6,1,0,7,4,4,2,3,1
CSOT,0,3,1,1,2,2,3,1,3,1,0
D.Q.O.,2,0,0,3,0,1,0,0,1,1,0
Design,4,4,4,4,2,2,4,4,6,10,8
DIGIMON,2,0,1,5,1,3,0,0,1,2,4
else,2,1,0,3,1,4,0,3,1,2,1
ENA,1,0,0,2,0,3,0,0,1,0,0
ESG,0,0,0,1,0,2,1,0,0,0,0
ESS,1,4,3,1,4,2,5,0,3,2,3
ETERNA,1,2,2,2,2,2,1,2,1,1,4
FE,1,1,4,2,1,0,0,2,0,3,4
function,2,1,0,3,1,4,0,3,1,2,1
GFX,3,5,5,5,4,4,3,3,3,4,9
HK이노엔,0,0,0,1,0,2,1,0,0,0,0
HPSP,1,3,3,1,3,2,5,0,3,2,2
id,2,1,0,3,1,4,0,3,1,2,1
IDEA,37,7,4,11,15,5,5,11,22,31,24
iF,3,2,0,2,1,1,1,1,2,4,1
if,2,1,0,3,1,4,0,3,1,2,1
ITC,1,3,2,3,0,3,3,2,5,2,1
ITZY,0,1,0,3,0,0,0,1,1,1,1
IT매체,2,0,0,1,0,2,0,4,1,2,0
IT용,1,6,2,2,4,4,5,2,7,2,0
JV,1,4,1,3,2,2,4,1,3,2,3
JYP,0,1,0,3,0,0,0,1,1,1,1
kg당,0,0,0,2,0,4,0,2,1,1,1
KizunaAI,2,0,0,3,0,2,0,1,1,2,4
KODEX,0,4,1,1,2,4,4,1,2,2,2
KT,1,4,1,3,2,2,4,1,3,2,3
LAKE,2,0,0,3,0,2,0,1,1,2,4
LCD,25,14,4,14,11,9,10,14,29,19,16
LG,3,2,0,2,1,1,1,1,2,4,1
LG디스플레,1,2,1,2,3,2,1,2,4,2,0
LG디스플레이,1,2,1,2,3,2,1,2,4,2,0
LG전자,4,12,3,10,5,9,13,6,13,10,8
LSE,0,2,0,1,0,2,5,1,1,1,0
LTCAM,0,2,0,1,0,2,5,1,1,1,0
LTPO,1,3,2,3,0,3,3,2,5,2,1
MBN,0,0,0,1,0,4,0,1,1,0,0
MC,0,0,0,1,0,4,0,1,1,0,0
NCT,0,2,0,2,1,0,0,1,0,0,0
NC다이노스,0,0,0,1,0,1,0,0,0,0,0
NWS,2,1,0,3,1,4,0,3,1,2,1
NXT,1,0,0,2,0,3,0,0,1,0,0
OLED,3,33,11,20,15,22,28,19,42,14,12
