org,topic_0,topic_1,topic_10,topic_11,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,5.74 (1%),20.79 (2%),,,69.87 (22%),,7.09 (1%),,8.41 (1%),5.60 (1%),4.96 (0%),5.02 (1%)
AUO,9.32 (2%),9.32 (1%),,25.10 (2%),,,14.89 (1%),10.68 (2%),13.32 (1%),,21.27 (1%),8.60 (1%)
BMW,3.59 (1%),2.15 (0%),1.93 (1%),11.47 (1%),,,4.96 (0%),,4.21 (0%),,5.67 (0%),3.59 (1%)
BOE,35.85 (7%),35.85 (4%),,55.93 (5%),,,83.65 (6%),19.72 (5%),67.29 (6%),,93.57 (7%),35.85 (5%)
BYD,5.02 (1%),6.45 (1%),,14.34 (1%),,,9.92 (1%),,11.21 (1%),9.60 (2%),14.18 (1%),6.45 (1%)
CES,,0.72 (0%),,,1.11 (0%),,,,,,,
CSOT,20.79 (4%),18.64 (2%),,22.23 (2%),,,43.95 (3%),10.68 (2%),35.05 (3%),,56.00 (4%),24.38 (4%)
Counterpoint,4.30 (1%),0.72 (0%),,,,,,,0.70 (0%),,,
HP,,1.43 (0%),,,,1.67 (1%),1.42 (0%),0.82 (0%),1.40 (0%),,0.71 (0%),
IEC,2.15 (0%),1.43 (0%),,5.02 (0%),,,1.42 (0%),,2.10 (0%),,2.13 (0%),2.15 (0%)
IEEE,1.43 (0%),2.87 (0%),,4.30 (0%),,,2.13 (0%),,4.21 (0%),0.80 (0%),2.84 (0%),2.15 (0%)
ITU,2.15 (0%),1.43 (0%),,5.02 (0%),,,1.42 (0%),,2.10 (0%),,2.13 (0%),2.15 (0%)
Innolux,13.62 (3%),,,35.85 (3%),,,21.27 (2%),20.54 (5%),17.52 (2%),8.80 (2%),21.98 (2%),10.76 (2%)
IoT,3.59 (1%),5.74 (1%),,13.62 (1%),,,7.80 (1%),4.93 (1%),9.81 (1%),,10.63 (1%),5.74 (1%)
JDI,5.02 (1%),8.60 (1%),,12.91 (1%),,,12.05 (1%),,6.31 (1%),3.20 (1%),14.18 (1%),5.74 (1%)
KAIST,2.15 (0%),1.43 (0%),,5.02 (0%),,,1.42 (0%),,2.10 (0%),,2.13 (0%),2.15 (0%)
LG디스플레이,57.36 (11%),64.53 (7%),,99.67 (8%),,,141.78 (11%),41.09 (9%),90.42 (9%),,183.60 (13%),80.31 (12%)
LG전자,,64.53 (7%),,72.42 (6%),74.30 (23%),,68.76 (5%),35.34 (8%),59.58 (6%),32.82 (8%),92.87 (6%),
LG화학,2.87 (1%),3.59 (0%),,10.04 (1%),,0.83 (0%),2.84 (0%),,,1.60 (0%),5.67 (0%),2.87 (0%)
SID,1.43 (0%),,,3.59 (0%),,0.83 (0%),4.25 (0%),1.64 (0%),2.80 (0%),,4.96 (0%),2.15 (0%)
SK하이닉스,,50.91 (5%),,32.98 (3%),,10.83 (5%),24.81 (2%),,24.53 (2%),21.61 (5%),23.39 (2%),10.76 (2%)
Semiconductor,2.15 (0%),4.30 (0%),,9.32 (1%),,,4.25 (0%),4.11 (1%),6.31 (1%),,4.25 (0%),2.15 (0%)
TCL,12.19 (2%),13.62 (1%),,23.66 (2%),,,36.15 (3%),12.33 (3%),35.05 (3%),,51.04 (4%),14.34 (2%)
TSMC,,1.43 (0%),,5.02 (0%),,,2.84 (0%),,3.50 (0%),1.60 (0%),0.71 (0%),
Tianma,16.49 (3%),,,17.93 (1%),,,22.68 (2%),12.33 (3%),20.33 (2%),7.20 (2%),27.65 (2%),13.62 (2%)
Toray,5.02 (1%),,0.97 (0%),2.15 (0%),,,0.71 (0%),4.11 (1%),,,2.13 (0%),1.43 (0%)
UDC,1.43 (0%),,,2.87 (0%),,0.83 (0%),2.13 (0%),0.82 (0%),1.40 (0%),,1.42 (0%),2.15 (0%)
Visionox,9.32 (2%),5.74 (1%),,12.91 (1%),,,28.36 (2%),,9.11 (1%),2.40 (1%),24.81 (2%),10.04 (1%)
구글,12.91 (2%),21.51 (2%),,26.53 (2%),,7.50 (3%),22.68 (2%),,24.53 (2%),,21.98 (2%),12.91 (2%)
기아,5.02 (1%),7.89 (1%),,16.49 (1%),,,8.51 (1%),4.11 (1%),9.11 (1%),,12.05 (1%),5.02 (1%)
기아자동차,,2.87 (0%),2.90 (1%),10.76 (1%),,3.33 (1%),6.38 (0%),4.11 (1%),7.71 (1%),,4.96 (0%),
네이버,3.59 (1%),3.59 (0%),,5.02 (0%),,5.00 (2%),4.25 (0%),,4.21 (0%),6.40 (2%),4.25 (0%),
