org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
.attr,3,3,5,2,3,1,2,1,3,4,2
.css,3,3,5,2,3,1,2,1,3,4,2
.find,3,3,5,2,3,1,2,1,3,4,2
.val,3,3,5,2,3,1,2,1,3,4,2
0개,1,0,1,1,1,1,5,2,1,2,2
10년물,0,1,3,0,2,0,0,0,0,1,1
10월,4,6,1,3,5,0,0,4,2,2,1
17에,1,2,1,1,2,4,3,0,3,1,1
2022년,3,4,0,1,2,0,0,1,1,1,1
2024년,3,4,3,1,1,3,3,0,3,1,1
2X,1,0,0,1,1,1,1,1,1,1,0
300만대,2,2,2,1,4,4,4,2,2,2,2
3대,1,2,1,2,3,0,0,3,1,1,0
3세대,1,2,1,1,2,4,3,0,3,1,1
3시,0,1,3,0,2,0,0,0,0,1,1
4900mAh,1,0,0,1,1,1,1,1,1,1,0
5년간,5,4,3,2,4,3,1,2,1,2,2
AI,48,33,37,38,59,33,15,43,26,54,13
AMD,3,3,3,2,4,3,0,3,2,2,0
AMOLED,1,0,0,1,1,1,1,1,1,1,0
APEC,2,1,2,1,3,0,0,2,1,1,1
BOE,1,2,1,1,2,4,3,0,3,1,1
CD,3,3,5,2,3,1,2,1,3,4,2
CEO,2,1,2,1,3,0,0,2,1,1,1
DX,2,1,1,2,3,1,0,1,3,4,0
DXI,2,1,1,2,3,1,0,1,3,4,0
else,3,3,5,2,3,1,2,1,3,4,2
EMS,2,2,2,2,3,1,0,3,1,2,1
ESG,3,3,2,2,2,1,3,1,3,3,2
e스포츠,2,2,2,2,2,2,2,1,2,2,3
FE,4,2,2,7,8,8,3,5,3,6,0
function,3,3,5,2,3,1,2,1,3,4,2
GES,2,2,2,2,2,2,2,1,2,2,3
GPU,1,2,4,5,4,3,0,2,1,5,3
id,3,3,5,2,3,1,2,1,3,4,2
if,3,3,5,2,3,1,2,1,3,4,2
input,3,3,5,2,3,1,2,1,3,4,2
JDI,4,3,2,2,4,3,2,4,2,3,2
K-기업,2,1,2,1,3,0,0,2,1,1,1
KBI국인산업,2,1,1,1,4,0,1,2,0,2,2
KHF,2,2,2,2,3,1,0,3,1,2,1
LCK,2,2,2,2,2,2,2,1,2,2,3
LED,0,2,2,2,2,2,0,0,3,4,0
LG,7,4,10,5,12,11,28,7,6,10,13
LG전자,10,6,12,8,13,12,33,10,10,14,13
LTPO,1,2,1,1,2,4,3,0,3,1,1
MTNW,0,3,1,0,1,1,1,0,1,1,0
NPU,1,2,4,5,4,3,0,2,1,5,3
NWS,3,3,5,2,3,1,2,1,3,4,2
OLED,12,11,11,10,18,20,22,11,13,12,10
OS,4,1,3,2,4,2,5,3,1,3,1
PC,5,6,9,10,10,8,1,7,5,10,4
PRO,0,2,1,3,1,3,1,0,4,4,0
pStr,3,3,5,2,3,1,2,1,3,4,2
RS,0,2,1,3,1,3,1,0,4,4,0
RTX,1,1,2,3,2,2,1,2,2,3,1
SHC,2,2,1,0,1,1,1,0,2,1,0
TCL,3,2,1,2,4,3,0,3,2,2,0
TFT,1,2,1,1,2,4,3,0,3,1,1
TIPS,0,1,3,0,2,0,0,0,0,1,1
url,3,3,5,2,3,1,2,1,3,4,2
var,3,3,5,2,3,1,2,1,3,4,2
vs,0,3,1,0,1,1,1,0,1,1,0
Web,3,3,5,2,3,1,2,1,3,4,2
webOS,4,1,3,2,4,2,5,3,1,3,1
XR,2,2,1,1,2,4,1,1,3,2,0
XRP,1,3,2,1,2,1,0,2,1,2,0
가속,0,2,2,2,2,2,0,0,3,4,0
가장,0,2,2,2,2,2,0,0,3,4,0
가전,3,2,1,2,4,3,0,3,2,2,0
가정용,3,2,1,2,4,3,0,3,2,2,0
각각각,2,5,2,2,1,3,1,1,3,2,2
강력한,0,2,2,2,2,2,0,0,3,4,0
강화,3,3,2,2,2,1,3,1,3,3,2
개발자,2,1,1,2,3,1,0,1,3,4,0
개최되,2,1,2,1,3,0,0,2,1,1,1
갤러리,3,2,7,4,7,9,25,6,6,8,10
갤럭시,3,2,2,6,7,7,2,4,2,5,0
거래,1,2,1,2,3,0,0,3,1,1,0
거래대금,1,3,2,1,2,1,0,2,1,2,0
거래일,2,5,2,2,1,3,1,1,3,2,2
것으로,17,19,16,9,25,16,7,13,12,13,6
게이밍,1,3,3,6,3,5,2,2,6,7,1
게임,2,2,2,2,2,2,2,1,2,2,3
결단력,4,6,4,2,1,4,5,0,6,1,2
경제,3,3,0,1,2,2,4,1,2,1,1
경제인,2,1,2,1,3,0,0,2,1,1,1
경험,7,3,1,6,9,3,0,4,4,7,0
계약,3,5,3,1,2,3,1,0,5,2,2
고객,3,3,3,2,4,3,0,3,2,2,0
고용,5,4,3,2,4,3,1,2,1,2,2
골프,0,2,2,2,2,2,0,0,3,4,0
골프R,0,2,2,2,2,2,0,0,3,4,0
공략주,0,3,1,0,1,1,1,0,1,1,0
공식,0,1,2,2,3,4,10,1,3,2,4
과정,1,0,0,2,2,1,0,1,0,1,0
관계,3,1,2,1,3,0,0,1,1,2,1
관계자,2,2,2,1,4,4,4,2,2,2,2
관람객,0,1,1,1,2,2,5,0,2,1,2
관리,3,2,3,2,2,2,1,2,1,5,1
관악구,3,2,1,2,4,0,0,2,1,2,1
교수,1,0,0,2,2,1,0,1,0,1,0
교육,6,3,2,4,7,2,0,4,2,5,0
구글,3,1,5,3,5,1,0,6,1,7,0
구는,3,2,1,2,4,0,0,2,1,2,1
구동,1,2,1,1,2,4,3,0,3,1,1
국채금리,0,1,3,0,2,0,0,0,0,1,1
국회,0,2,0,0,0,0,0,0,1,0,0
규모,1,1,1,0,2,1,3,0,0,1,4
그는,3,1,2,1,3,0,0,1,1,2,1
그렉터,2,1,1,1,4,0,1,2,0,2,2
금리,4,4,5,2,6,3,2,4,2,4,3
기기,3,2,4,2,4,4,1,5,3,6,0
기능,10,7,14,15,13,11,2,8,9,22,5
기반,4,2,4,4,6,1,0,4,2,7,0
기술로,2,2,2,2,3,1,0,3,1,2,1
기자,2,2,2,1,4,1,0,2,0,2,0
