term,cur,prev,diff,ma7,z_like,total
vs,3,0,3,0.5,1.464,3
fe,2,0,2,0.333,1.057,2
s25,2,0,2,0.333,1.057,2
강화한,2,0,2,0.333,1.057,2
갤러리와,2,0,2,0.333,1.057,2
내셔널,2,0,2,0.333,1.057,2
삼성sdi,2,0,2,0.333,1.057,2
선택과,2,0,2,0.333,1.057,2
최주선,2,0,2,0.333,1.057,2
파트너십,2,0,2,0.333,1.057,2
플랫폼,3,0,3,1.0,1.0,6
lg전자,3,1,2,1.167,0.881,7
pc,2,1,1,0.5,0.879,3
집중,2,0,2,0.667,0.734,4
갤럭시,2,0,2,0.833,0.61,5
11만원,1,0,1,0.167,0.592,1
138건,1,0,1,0.167,0.592,1
19와,1,0,1,0.167,0.592,1
1년,1,0,1,0.167,0.592,1
1년의,1,0,1,0.167,0.592,1
1조,1,0,1,0.167,0.592,1
23년간,1,0,1,0.167,0.592,1
2번,1,0,1,0.167,0.592,1
3대지수,1,0,1,0.167,0.592,1
3분의,1,0,1,0.167,0.592,1
3세대,1,0,1,0.167,0.592,1
400억에,1,0,1,0.167,0.592,1
42건,1,0,1,0.167,0.592,1
50만대,1,0,1,0.167,0.592,1
50억달러,1,0,1,0.167,0.592,1
5년,1,0,1,0.167,0.592,1
6만,1,0,1,0.167,0.592,1
6만명,1,0,1,0.167,0.592,1
80만원대,1,0,1,0.167,0.592,1
8만전자,1,0,1,0.167,0.592,1
936배,1,0,1,0.167,0.592,1
93세,1,0,1,0.167,0.592,1
94,1,0,1,0.167,0.592,1
94조,1,0,1,0.167,0.592,1
9800억원,1,0,1,0.167,0.592,1
asus,1,0,1,0.167,0.592,1
dx,1,0,1,0.167,0.592,1
et,1,0,1,0.167,0.592,1
ges,1,0,1,0.167,0.592,1
jy,1,0,1,0.167,0.592,1
k상생은,1,0,1,0.167,0.592,1
lg올레드,1,0,1,0.167,0.592,1
lg처럼,1,0,1,0.167,0.592,1
ltpo,1,0,1,0.167,0.592,1
rs50,1,0,1,0.167,0.592,1
sec,1,0,1,0.167,0.592,1
shc로부터,1,0,1,0.167,0.592,1
s리포트,1,0,1,0.167,0.592,1
tv사업,1,0,1,0.167,0.592,1
tv서,1,0,1,0.167,0.592,1
wti,1,0,1,0.167,0.592,1
xr,1,0,1,0.167,0.592,1
xrp,1,0,1,0.167,0.592,1
가볍고,1,0,1,0.167,0.592,1
가상자산,1,0,1,0.167,0.592,1
가속화하는,1,0,1,0.167,0.592,1
가을,1,0,1,0.167,0.592,1
가정용,1,0,1,0.167,0.592,1
간다,1,0,1,0.167,0.592,1
갈등이,1,0,1,0.167,0.592,1
감상한다,1,0,1,0.167,0.592,1
거래액,1,0,1,0.167,0.592,1
고리,1,0,1,0.167,0.592,1
고흐부터,1,0,1,0.167,0.592,1
골든타임,1,0,1,0.167,0.592,1
골프r,1,0,1,0.167,0.592,1
공략법은,1,0,1,0.167,0.592,1
공모주,1,0,1,0.167,0.592,1
공백,1,0,1,0.167,0.592,1
관건은,1,0,1,0.167,0.592,1
관악구,1,0,1,0.167,0.592,1
구글코리아와,1,0,1,0.167,0.592,1
구급차,1,0,1,0.167,0.592,1
국제유가,1,0,1,0.167,0.592,1
국채가,1,0,1,0.167,0.592,1
근황,1,0,1,0.167,0.592,1
글쎄,1,0,1,0.167,0.592,1
금리인하,1,0,1,0.167,0.592,1
기능을,1,0,1,0.167,0.592,1
기술력,1,0,1,0.167,0.592,1
기술유출,1,0,1,0.167,0.592,1
기증식,1,0,1,0.167,0.592,1
기탁,1,0,1,0.167,0.592,1
꼿꼿한,1,0,1,0.167,0.592,1
나도,1,0,1,0.167,0.592,1
나스닥,1,0,1,0.167,0.592,1
나왔다,1,0,1,0.167,0.592,1
날개,1,0,1,0.167,0.592,1
날쌘,1,0,1,0.167,0.592,1
남긴,1,0,1,0.167,0.592,1
납품대금,1,0,1,0.167,0.592,1
내비게이터,1,0,1,0.167,0.592,1
내셔널갤러리,1,0,1,0.167,0.592,1
내셔널갤러리와,1,0,1,0.167,0.592,1
넷째,1,0,1,0.167,0.592,1
넷플,1,0,1,0.167,0.592,1
뉴욕채권,1,0,1,0.167,0.592,1
늘린다,1,0,1,0.167,0.592,1
다각화,1,0,1,0.167,0.592,1
다문화융합연구소,1,0,1,0.167,0.592,1
