org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
운영,1,2,0,0,4,2,2,1,1,1
울트라,3,3,1,2,1,1,3,1,3,3
이곳,2,3,1,0,3,4,3,2,1,1
이더리움,0,3,2,1,1,3,3,2,2,4
이더리움클래식,0,3,2,1,1,3,3,2,2,4
이번,11,12,11,6,7,9,12,11,9,7
익시오,1,4,2,0,2,2,4,2,1,4
인공지능,1,2,0,0,4,2,2,1,1,1
인텔,3,3,1,2,1,1,3,1,3,3
임명,1,4,2,0,2,1,4,1,1,1
있는,3,3,1,1,0,1,3,2,1,2
있다.,11,21,16,13,8,15,21,16,18,19
장관,1,4,4,1,4,1,4,1,2,2
적용해,1,4,2,1,1,1,4,0,2,3
전기차,4,6,4,4,2,2,6,2,4,5
전년,1,2,3,5,0,2,2,3,3,4
전문가용,1,2,1,1,0,1,2,1,2,1
전용,0,3,3,0,3,3,3,1,2,4
전체,1,2,3,5,0,2,2,3,3,4
점검,0,0,2,1,2,0,0,0,1,1
점유율,2,3,4,5,2,3,3,4,3,5
정부,1,4,2,0,2,1,4,1,1,1
정제,4,4,4,2,0,3,4,3,3,1
정확도,1,2,1,1,0,1,2,1,2,1
제공,5,4,4,3,4,3,4,5,3,3
제공한다.,0,3,3,0,3,3,3,1,2,4
제공해,1,2,1,1,0,1,2,1,2,1
종속기업,1,2,1,3,2,2,2,2,5,3
주거,2,3,1,0,3,4,3,2,1,1
주행,4,7,3,2,1,2,7,2,3,5
중국,2,6,5,6,1,3,6,3,5,7
지난,5,4,4,3,4,3,4,5,3,3
지능형,1,2,0,0,4,2,2,1,1,1
지사,2,3,2,0,2,4,3,3,1,1
지식베이스,0,1,0,0,2,2,1,1,1,1
지원,2,5,2,2,4,4,5,5,3,2
직장,2,3,1,0,3,4,3,2,1,1
진태희,1,4,2,0,2,1,4,1,1,1
차량,3,3,1,1,0,1,3,2,1,2
차체,3,3,1,1,0,1,3,2,1,2
창업,6,7,8,4,7,6,7,8,5,4
채용,1,3,1,1,4,3,3,4,1,1
첨단,2,4,3,1,3,3,4,3,3,3
청년,1,3,1,1,4,3,3,4,1,1
초중학교,1,2,0,0,4,2,2,1,1,1
총장,5,4,4,3,4,3,4,5,3,3
최교진,1,4,2,0,2,1,4,1,1,1
최종,1,2,0,0,4,2,2,1,1,1
추진상황,0,0,2,1,2,0,0,0,1,1
출하량,1,2,3,5,0,2,2,3,3,4
충전,3,2,2,3,1,1,2,2,2,2
취업,1,3,1,1,4,3,3,4,1,1
칩은,1,3,0,1,1,2,3,1,2,5
카메라,1,3,0,1,1,2,3,1,2,5
커넥트웨이브,0,3,2,1,1,3,3,2,2,4
테크노밸리,4,6,3,0,5,8,6,5,2,2
통합돌봄까지,2,3,1,0,3,4,3,2,1,1
통해,11,14,14,7,7,11,14,15,9,5
투자,5,7,8,3,3,6,7,6,5,2
트라,1,3,4,1,3,3,3,3,2,1
트림에,1,4,2,1,1,1,4,0,2,3
특화,1,3,2,1,0,2,3,4,1,0
패널,6,8,6,8,3,5,8,6,8,9
편도욱,0,3,2,1,1,3,3,2,2,4
포항,2,4,3,1,3,3,4,3,3,3
포항시,2,4,3,1,3,3,4,3,3,3
폴더블,2,3,4,5,2,3,3,4,3,5
프레데터,3,3,1,2,1,1,3,1,3,3
프로그램,1,5,3,0,7,5,5,2,3,5
플러그인,1,4,2,1,1,1,4,0,2,3
학교,1,3,2,0,4,1,3,0,1,1
학생들,1,3,2,0,4,1,3,0,1,1
한국직업능력연구원,1,2,0,0,4,2,2,1,1,1
함께,4,5,4,3,5,2,5,2,3,3
합리적인,1,2,1,1,0,1,2,1,2,1
해외,1,2,1,3,2,2,2,2,5,3
헬리오스,3,3,1,2,1,1,3,1,3,3
헬스케어,4,4,4,2,0,3,4,3,3,1
혁신,2,3,2,0,2,4,3,3,1,1
현장,1,3,1,1,4,3,3,4,1,1
현재,0,3,2,1,1,3,3,2,2,4
협력,5,4,4,3,4,3,4,5,3,3
혜택,1,7,5,0,5,5,7,3,3,8
호우대비,0,0,2,1,2,0,0,0,1,1
확대,4,4,4,2,0,3,4,3,3,1
환경,3,2,2,3,1,1,2,2,2,2
활동,1,3,2,0,4,1,3,0,1,1
활용,0,1,0,0,2,2,1,1,1,1
회의,0,0,2,1,2,0,0,0,1,1
